id,Year,Title,Abstract,include_stage1,reason_stage1,detected_language,publication_year,confidence_stage1
J4243,2023,The economic challenges of treating uncomplicated hypertension in sub-Saharan Africa - Identifying major cost drivers and possible solutions: A systematic review,"Einleitung Hypertension is a rising health threat in sub-Saharan Africa (SSA) and so far, the research on the economic consequences is limited. The aim of our review was to gather Hypertension treatment costs from different perspectives in SSA and identify possible opportunities to reduce the economic burden. Methoden A systematic literature review was performed searching in 6 databases (PubMed, Web of Science, Google Scholar, CINAHL, ISPOR, EconLit) for peer reviewed articles published in English from inception to Jan. 2022. We included studies assessing direct or indirect costs of Hypertension treatment across SSA. The search and quality assessment were independently executed by two researchers. All results were converted to 2021 US Dollar. Resultate Of 3999 the initial articles, 33 were included in the review. Not all SSA countries were represented and only 25 % of the countries provided data on the economic burden of Hypertension. Economic results varied according to their perspective and country. Cost on medications represented the majority with a range from 1.70$ to 97.06$ from a patient and 0.09$ to 193.55$ from a provider perspective per patient per month. Up to 72 % of the patients lost more than 10 % of their annual income to Hypertension care. Schlussfolgerung Health systems and patients experience a great financial burden due to hypertension care. While the costs differed according to measuring and financing methods, we identified medication as a major cost factor. Reducing medication costs and supporting patients through subsidies, use of generics or other special interventions should be considered.",FALSE,"Abstract primarily in German, not English",Not English,2023,0.9
J976,2019,Understanding the lived experiences of the patient journey following lumbar spinal fusion surgery using weekly patient diaries,"Purpose: In the United Kingdom, surgery is the greatest single component of expenditure for managing low back pain with approximately 4500 lumbar spinal fusion surgery (LSFS) procedures performed annually. LSFS is used to manage pain attributed to degenerative or spondylolisthetic cause, resistant to conservative management. Low level current evidence suggests inconclusive outcomes and questions cost effectiveness. With high costs and large variations in outcomes it is important to identify prognostic factors (for poor outcome) and develop a stratification tool that can inform clinical decision making related to post-operative physiotherapy. Understanding the lived experience of the patient is an important part of this process. The purpose of this study was to capture a weekly record of life as lived in the first 4 weeks following LSFS from the patients own perspective. Method(s): Qualitative study using Interpretive Phenomenological Analysis (IPA) approach. A purposive sample of adult patients who had undergone instrumented LSFS were recruited across 2 NHS sites. A weekly diary was developed from the literature and piloted. It consisted of 12 sections; progress, recovery, motivation, symptoms, medications, healthcare appointments, rehabilitation, positive/negative thoughts, significant moment during the past week and a comparison to the previous week. The final section enabled participants to record other comments regarding how they have have felt or experiences over the past week. To maximise completion rate and quality of the data obtained, the diary could be completed in paper form, word document, online via a survey tool or audio recorded. Strategies to enhance diary adherence included a weekly prompt. Diaries were completed on a weekly basis for the first 4 weeks following LSFS. A framework analysis of thematic coding (with deductive and inductive components) by 2 researchers captured emergent themes. Strategies (for example reflexivity) ensured trustworthiness. Result(s): Completed diary sets (1 diary entry per week for 4 weeks) from 8 participants, contributed to the developed framework. Emerging themes included absence or presence of pre-operative symptoms after surgery, self-motivation and self-efficacy, ability to set goals unrelated to physical limitations, absence/presence of support and access to healthcare professionals. A collaborative approach to the analysis representing both professional and public and patient perspectives enhanced the analysis of the data. Conclusion(s): Variability existed between patients in their diaries, highlighting individual journeys. Some commonalities were identified. Access to health professionals during a week was associated with higher levels of motivation and documented positive feelings. Achieving a goal or perceived progress from the preceding week also affected motivation. The presence of pre-operative symptoms was a strong negative feeling which impacted on feelings about recovery so far. Participants who recorded a negative 'most memorable moment' during the initial week showed consistency of this reporting in the subsequent weeks. Implications: Real time access to data through patient diaries has captured their lived experiences during the first 4 weeks following LSFS. Combined with continued data collection via patient diaries capturing the later stages of the patient journey, findings will ensure that patient driven data informs stratified precision rehabilitation following LSFS with the overall aim of improving patient outcome and cost effectiveness. Funding acknowledgements: The Chartered Society of Physiotherapy Charitable Trust Physiotherapy Research Foundation. Copyright Â© 2018",FALSE,"Copyright year 2018, outside inclusion window",English,2018,0.9
J5644,2024,Physiotherapy for rare hereditary NMDs- an open and free e-learning course for physiotherapists. Results after 18 months online at sjelden.no,"Physiotherapy is an important modality for patients with neuromuscular disorders, as individually targeted physiotherapy approaches may enhance functions in daily life, and thereby affect quality of life. In Norway, there is scarce knowledge of physiotherapy for neuromuscular patients among physiotherapists (PTs). The PTs at the National Neuromuscular Centre, Norway (NMK), saw the need for the development of free and easily attainable learning resources to empower PTs at hospitals and in communities in their clinical reasoning process. A service development project was conducted, resulting in an e-learning course published at the Norwegian learning platform sjelden.no. The e-learning course was developed in close collaboration with sjelden.no, a learning platform for rare diseases funded by Norwegian National Advisory Unit on Rare Disorders (NKSD). The project period ran from 2018-2022. The course is presented in written and spoken Norwegian and consists of five modules. 1) Introduction 2) Human movement- from healthy to muscle disease 3) Examples of movement analysis of patients 4) Intervention examples 5) Course test with 15 multiple choice questions. The course was published in Sep.2022. Information and advertisement has been provided from NMK at national and international conferences, on NMK's SoMe-platforms and website, and at clinical courses for PTs in Norway. From September 2022-March 2024, the e-learning course has had 2209 users and 3772 views based on statistics from Google Analytics. This is the 3rd most visited learning resource at sjelden.no. The introductory video has 400 full-length finishes, while 120 PTs has passed the course-test. The e-learning course has good statistics of use by Norwegian PTs when looking at users, views and completion of the course test. To enhance the sharing of evidence-based physiotherapy for NMD-patients to PTs, a digital course thus seems to be a cost-effective and potent tool. To enable availability for an international audience, translation to English with publishing through sjelden.no and ERN Euro-NMD is planned for 2024-2025. Copyright Â© 2024",FALSE,Primary language is not English,Not English,2024,1
J393,,RapidAI for Stroke Detection,"<b>WHAT IS THE INDICATION UNDER REVIEW?</b>: The indication under review is the detection, using artificial intelligence (AI) software, of large vessel occlusion (LVO) (i.e., ischemic stroke) and intracranial hemorrhage (ICH) (i.e., hemorrhagic stroke) for people of any age with a suspected acute stroke.
<b>WHAT IS RAPIDAI?</b>: RapidAI is an AI-enabled software platform that facilitates the viewing, processing, and analysis of CT imaging to aid clinicians in assessing patients, including those with suspected stroke. It builds on the original RAPID software, initially developed to automate and expedite the postprocessing of CT perfusion imaging. Currently, the platform also incorporates modules that perform AI-driven detection of LVO and ICH, which were the functionalities evaluated in this review. RapidAI is intended to complement, rather than replace, clinician interpretation of CT imaging and is to be used as a supportive tool rather than a standalone diagnostic intervention.
<b>HOW DID CANADA'S DRUG AGENCY EVALUATE THIS TECHNOLOGY?</b>: To examine the value of implementing RapidAI for detecting LVO and ICH, Canada's Drug Agency (CDA-AMC) conducted an evidence review on RapidAI that identified, synthesized, and critically appraised literature evaluating RapidAI's effectiveness, accuracy, and cost-effectiveness. CDA-AMC highlighted and reflected on the ethical and equity implications of using RapidAI for stroke detection, engaged a patient contributor, sought feedback from knowledge users, and consulted an expert panel. While RapidAI has numerous features and functionalities, what is relevant for this report are the modules that perform AI-driven detection of LVO and ICH to inform stroke diagnosis. No additional features or functionalities, such as the postprocessing of CT perfusion imaging, were assessed.
<b>WHAT ELSE DID CDA-AMC DO?</b>: CDA-AMC applied Digital Technology Assessment Criteria (DTAC), a checklist currently used in the UK, to the health care context in Canada to determine whether we have equivalent or similar measures, strategies, and policies to implement digital health technologies safely. CDA-AMC also conducted a literature review to identify implementation guidance specific to AI-enabled medical device use and relevant to Canada to supplement DTAC. For this work, CDA-AMC integrated ethics and equity considerations, leveraged patient engagement activities conducted in the concurrent RapidAI review, sought feedback from knowledge users, and consulted an expert panel.
<b>WHAT IS THE HEALTH TECHNOLOGY EXPERT REVIEW PANEL RECOMMENDATION FOR RAPIDAI?</b>: In locations where RapidAI has already been implemented for use in detecting suspected LVO and ICH, the Health Technology Expert Review Panel (HTERP) recommends RapidAI is used only as indicated, alongside clinician interpretation of CT imaging, to reduce the risk of incorrect results; and the generation of evidence to evaluate its value in health care systems, including its use in less-resourced centres with limited access to stroke care specialists. In locations considering the implementation of RapidAI for use in detecting suspected LVO and ICH, given the uncertainty and gaps in the evidence regarding clinical, economic, and equity value of RapidAI, HTERP cannot provide recommendations for or against its implementation.",FALSE,Publication year is unknown,English,,0.8
J1275,2019,"Using internet-based self-help to bridge waiting time for face-to-face outpatient treatment for Bulimia Nervosa, Binge Eating Disorder and related disorders: Study protocol of a randomized controlled trial","Background: Eating disorders are serious conditions associated with an impaired health-related quality of life and increased healthcare utilization and costs. Despite the existence of evidence-based treatments, access to treatment is often delayed due to insufficient health care resources. Internet-based self-help interventions may have the potential to successfully bridge waiting time for face-to-face outpatient treatment and, thus, contribute to overcoming treatment gaps. However, little is known about the feasibility of implementing such interventions into routine healthcare. The aim of this study is to analyze the effects and feasibility of an Internet-based self-help intervention (everyBody Plus) specifically designed for patients with Bulimia Nervosa, Binge Eating Disorder and other specified feeding and eating disorders (OSFED) on a waiting list for outpatient face-to-face treatment. The aim of this paper is to describe the study protocol. Method(s): A multi-country randomized controlled trial will be conducted in Germany and the UK. N = 275 female patients awaiting outpatient treatment will be randomly allocated either to the guided online self-help intervention everyBody Plus"" or a waitlist control group condition without access to the intervention. everyBody Plus comprises eight weekly sessions that cover topics related to eating and exercise patterns, coping with negative emotions and stress as well as improving body image. Participants will receive weekly individualized feedback based on their self-monitoring and journal entries. Assessments will take place at baseline, post-intervention as well as at 6- and 12-months follow up. In addition, all participants will be asked to monitor core eating disorder symptoms weekly to provide data on the primary outcome. The primary outcome will be number of weeks after randomization until a patient achieves a clinically relevant improvement in core symptoms (BMI, binge eating, compensatory behaviors) for the first time. Secondary outcomes include frequency of core symptoms and eating disorder related attitudes and behaviors, as well as associated psychopathology. Additional secondary outcomes will be the participating therapists' confidence in treating eating disorders as well as perceived benefits of everyBody Plus for patients. Discussion(s): To the best of our knowledge, this is the first randomized controlled trial examining the effects of Internet-based self-help for outpatients with eating disorders awaiting face-to-face outpatient treatment. If proven to be effective and successfully implemented, Internet-based self-help programs might be used as a first step of treatment within a stepped-care approach, thus reducing burden and cost for both patients and health care providers. Copyright Â© 2018 The Authors""",FALSE,"Copyright date is 2018, outside 2019-2025 range",English,2018,0.9
J1315,2019,What do we know about the healthcare costs of extreme heat exposure? A comprehensive literature review,"Exposure to extreme heat can lead to a range of heat-related illnesses, exacerbate pre-existing health conditions and cause increased demand on the healthcare system. A projected increase in temperature may lead to greater healthcare expenditure, however, at present the costs of heat-related healthcare utilization is under-researched. This study aims to review the literature on heat-related costs for the healthcare system with a focus on ED visits, hospitalization, and ambulance call-outs. PubMed, Scopus, and Embase were used to search relevant literature from database inception to December 2017 and limited to human studies and English language. After screening, a total of ten papers were identified for final inclusion. In general, the healthcare costs of heat extremes have been poorly investigated in developed countries and not reported in developing countries where the largest heat-vulnerable populations reside. Studies showed that exposure to extreme heat was causing a substantial economic burden on healthcare systems. Females, the elderly, low-income families, and ethnic minorities had the highest healthcare costs on a range of health services utilization. Although a few studies have estimated heat healthcare costs, none of them quantified the temperature-healthcare cost relationship. There is a need to systematically examine heat-attributable costs for the healthcare system in the context of climate change to better inform heat-related policy making, target interventions and resource allocation. Copyright Â© 2018",FALSE,"Published in 2018, outside date range",English,2018,1
J420,2019,Cost-effectiveness of strategies to improve delivery of brief interventions for heavy drinking in primary care: results from the ODHIN trial,"BACKGROUND: Screening and brief interventions (SBIs) for heavy drinking are an effective and cost-effective approach to reducing alcohol-related harm, yet delivery rates remain low. This study uses trial data to estimate the cost-effectiveness of alternative strategies to increase SBI delivery. METHOD(S): Data from a large cluster-randomized trial were combined with the Sheffield Alcohol Policy Model, a policy appraisal tool, to estimate the cost-effectiveness of eight strategies to increase SBI delivery in primary care in England, Poland and the Netherlands: care as usual (control), training and support (TS), financial reimbursement (FR), referral of patients to an online brief intervention (eBI) and all combinations of TS, FR and eBI. cost-effectiveness was assessed from a healthcare perspective by comparing health benefits (measured in Quality-Adjusted Life Years) with total implementation costs and downstream healthcare savings for each strategy over a 30-year horizon and calculating Incremental cost-effectiveness ratios (ICERs). RESULT(S): All trialled strategies were cost-effective compared to control. TS combined with FR was the most cost-effective approach in England (more effective and less costly than control) and Poland (ICER 4632 vs. next-best strategy). This combination is not cost-effective in the Netherlands, where TS alone is the most cost-effective approach (ICER 3386 vs. next-best strategy). CONCLUSION(S): Structured TS, financial incentives and access to online interventions are all estimated to be cost-effective methods of improving delivery of alcohol brief interventions. TS and FR together may be the most cost-effective approach, however this is sensitive to country characteristics and alternative BI effect assumptions. TRIAL REGISTRATION: ClinicalTrials.gov trial identifier: NCT01501552. Copyright Â© The Author(s) 2018. Published by Oxford University Press on behalf of the European Public Health Association. All rights reserved.",FALSE,"Published in 2018, outside 2019-2025 range.",English,2018,1
J774,2019,A service evaluation of prescribed only medications (POMs) issued during a 12-month period in a musculoskeletal physiotherapy primary care service,"Purpose: Non-medical prescribing was introduced in the United Kingdom (UK) to improve healthcare service efficiency, access to medicines and support service innovation. From 2013, independent prescribing was extended to include physiotherapists. Patients are facing increasingly long waiting times to see their GPs, and delays getting medication to aid their musculoskeletal ailments. This report aims to explore patient satisfaction of this service in a primary care musculoskeletal physiotherapy setting. IPOPS started provision of independent prescribing during physiotherapy sessions by a single physiotherapy practitioner in March 2017. Method(s): Patients who were given prescriptions (FP10) during their physiotherapy session from a 12-month period by a single physiotherapy independent prescriber (March 2017 to March 2018) were given a 6-part satisfaction questionnaire. A numeric scale rating from 1 to 10 (1 - least satisfied to 10 - most satisfied) was used for questions 1 to 4. Questions 5 and 6 were responded with patient comments regarding the service.1. How satisfied are you with being provided with a prescription today? 2. How satisfied are you with combined care of physiotherapy and a prescription? 3. How satisfied are you with the timing of your prescription. 4. How satisfied are you with the education received regarding your prescription today? 5. Comparing this experience of receiving your prescription from a physiotherapist how would you rate your experience compared to being provided with a prescription by your GP or nurse practitioner? 6. Is there anything you feel could be improved? Results: 106 prescriptions were issued during that period. These included: naproxen (16) 15%, gabapentin (14) 13%, amitriptyline (13) 12%, pregabalin (11) 10%, ibuprofen gel 10% (9) 8%, omeprazole (9) 8%, capsaicin cream (8) 8%, diazepam (8) 8%, vitamin D (7) 7%, lanzoprazole (6) 6% and alendronic acid (5) 5%. The mean satisfaction ratings were as follows: Question1 - 9/10 rating, Question 2 - 10/0 rating, Question 3 - 8/10, Question 4 - 10/10 rating. For questions 6 and 7, the responses were all positive and included comments such as quicker service"", ""it was good I received my prescription by the clinician diagnosing and managing my problem"", ""excellent service"", ""shame that not all physios can prescribe."" Conclusion(s): Although the sample size was relatively small, all the patients rated the service highly with positive comments. The experience they had was comparable to that by a General Practitioner (GP) or Nurse Practitioner. Implications: All patients were happy to receive physiotherapy treatment and prescriptions if required creating the concept of a 'one stop shop' and reducing time that would have been needed to book an appointment with a GP to get a similar prescription. The independent prescribing role can be extended to reviewing medication and weaning advice as symptoms improve. Funding acknowledgements: No funding was provided for this service evaluation. Copyright Â© 2018""",FALSE,"Published in 2018, outside 2019-2025 range",English,2018,1
J1751,2020,Dementia and Imagination: A Social Return on Investment Analysis Framework for Art Activities for People Living With Dementia,"BACKGROUND AND OBJECTIVES: Arts activities may benefit people living with dementia. Social return on investment (SROI) analysis, a form of cost-benefit analysis, has the potential to capture the value of arts interventions, but few rigorous SROI analyses exist. This article presents a framework for an SROI analysis. RESEARCH DESIGN AND METHODS: One hundred twenty-five people with mild to severe dementia and 146 caregivers were recruited to the Dementia and Imagination study across residential care homes, a hospital and community venues in England and Wales for a 12-week visual arts program. Quantitative and qualitative data on quality of life, support, and program perceptions were obtained through interviews. SROI was undertaken to explore the wider social value of the arts activities. RESULT(S): An input of 189,498 ($279,320/257,338) to deliver the groups created a social value of 980,717 ($1,445,577/1,331,814). This equates to a base case scenario of /$/5.18 of social value generated for every /$/1 invested. Sensitivity analysis produced a range from /$/3.20 to /$/6.62 per /$/1, depending on assumptions about benefit materialization; financial value of participants' time; and length of sustained benefit. DISCUSSION(S): To our knowledge, this is the first study applying SROI to an arts intervention for people with dementia. Arts-based activities appear to provide a positive SROI under a range of assumptions. IMPLICATIONS: Decision makers are increasingly seeking wider forms of economic evidence surrounding the costs and benefits of activities. This analysis is useful for service providers at all levels, from local government to care homes. Copyright Â© The Author(s) 2018. Published by Oxford University Press on behalf of The Gerontological Society of America.",FALSE,"Published in 2018, outside 2019-2025 range",English,2018,1
J875,2019,"A Narrative Review of Intensive Group Tobacco Treatment: Clinical, Research, and US Policy Recommendations","Clinical practice guidelines recommend comprehensive treatment for tobacco dependence including pharmacotherapies and behavioral interventions. Group counseling may deliver unique treatment aspects not available with other modalities. This manuscript provides a narrative review of group treatment outcomes from real-world practice settings and complements recent meta-analyses of randomized controlled trials (RCTs). Our primary goals were to determine whether group treatments delivered in these settings have yielded similar quit rates compared to individual treatment and to provide recommendations for best practices and policy. Method(s): Group treatment was defined as occurring in a clinical or workplace setting (ie, not provided as part of a research study), led by a professionally trained clinician, and offered weekly over several weeks. English language PubMed articles from January 2000 to July 2017 were searched to identify studies that included outcomes from both group and individual treatment offered in real-world settings. Additional data sources meeting our criteria were also included. Reports not using pharmacotherapy and research studies (eg, RCTs) were excluded. The primary outcome was short-term, carbon monoxide (CO)-validated point prevalence abstinence (4-week postquit date). Result(s): The review included data from 11 observational studies. In all cases, group treatment(s) had higher 4-week CO-validated quit rates (range: 35.5%-67.3%) than individual treatment(s) (range: 18.6%-53.3%). Conclusion(s): Best practice group treatments for tobacco dependence are generalizable from research to clinical settings and likely to be at least as effective as intensive individual treatment. The added advantages of efficiency and cost-effectiveness can be significant. Group treatment is feasible in various settings with good results. Implications: A major barrier to achieving high rates of tobacco abstinence is under-utilization of evidence-based treatment interventions. This review demonstrates the effectiveness and utility of group treatment for tobacco dependence. Based on the available data described in this narrative review in conjunction with existing RCT data, group treatment for tobacco dependence should be established and available in all behavioral health and medical settings. Group tobacco treatment is now one of the mandated reimbursable tobacco treatment formats within the US health care system, creating enormous opportunities for widespread clinical reach. Finally, comprehensive worksite group programs can further extend impact. Copyright Â© 2018 The Author(s) 2018. Published by Oxford University Press on behalf of the Society for Research on Nicotine and Tobacco. All rights reserved.",FALSE,"Published in 2018, outside the 2019-2025 range",English,2018,1
