id,Year,Title,Abstract,include_stage5,reason_stage5,has_comparator,detected_comparator,has_primary_outcomes,detected_outcomes,confidence_stage5
J502,2019,Pdb16 Assessment of Cost-Effectiveness of a 0.2 Mcg/Day Fluocinolone Acetonide (Fac) Implant in Patients with Chronic Diabetic Macular Oedema (Dmo) in an Eye with Cataract,"Objectives: The fluocinolone acetonide 0.2 mug/day implant (FAc) is effective in improving visual acuity in patients with chronic diabetic macular oedema (cDMO) but is associated with worsening of cataract. A model previously suggested that FAc is cost-effective in patients with cDMO, who have undergone cataract surgery or not. The aim of this study was to update this model and assess the cost-effectiveness of FAc in the subgroup of patients with symptomatic cataract. Method(s): The existing Markov model was designed to assess costs and QALYs over lifetime in patients treated with FAc implant, compared to usual care (UC), consisting of laser photocoagulation and anti-VEGFs from the UK NHS perspective. Unit costs and health state utility values (HSUVs) were updated. The FAc price was NHS list price. HSUVs were obtained from the FAME trial using the VFQ-UI utility index. Best-Corrected Visual Acuity (BCVA) with UC was supposed to be stable. Additional scenarios were considered, with BCVA decreasing over time in UC arm, according to real-world data, and with possibility of administering FAc after cataract surgery in the UC arm. Result(s): New HSUVs ranged from 0.48 for blind patients to 0.91 for patients with perfect vision in both eyes. The FAc strategy was more expensive compared to usual care, by 3,445 per patients over lifetime, and produced more QALYs (+0.247). The incremental cost-effectiveness ratio (ICER) was estimated at 13,932 per QALY gained. The ICER was sensitive to the baseline visual acuity, patients' age and the probability of cataract surgery. The probability of FAc being cost-effective was 66.1% at a threshold of 20,000 per QALY gained. Scenario analyses showed that the efficacy of UC had a strong influence on results, and ICER decreased to 1,686 per QALY gained when BCVA decreased under UC Conclusion(s): The FAc implant is a cost-effective treatment for cDMO in patients with symptomatic cataract. Copyright Ãƒâ€šÃ‚Â© 2019",TRUE,Uses usual care comparator and measures cost/QALY outcomes.,TRUE,Usual/Standard care,TRUE,"['cost', 'qaly']",1
J504,2019,Pmh28 Assessing the Life-Cycle Value Added of Second-Generation Antipsychotics in Sweden and the Uk: The Case of Risperidone,"To estimate the life-cycle value of risperidone - representative of Second-Generation Antipsychotics- relative to First Generation Antipsychotics to balance the view that cost per Quality-Adjusted Life Year (QALY) at launch are enough to guide access decisions. Study aims to drive the discussion on access and price, through recognition of the dynamic nature of value added by pharmaceutical innovation over the long-run. We estimated the number of patients with schizophrenia treated with risperidone in Sweden and the UK (1994-2017). We collected cost-effectiveness data from the literature of risperidone and haloperidol - representative of First-Generation Antipsychotics. We modelled the life-cycle uptake of risperidone to estimate the life-cycle incremental cost, incremental QALYs and Net monetary Benefit (NMB). We also assessed the life-cycle distribution of the consumer (the payer) and the producer (innovator) surpluses. For the UK, the producer surplus represents around 28% of the total surplus before patent expiration and around 5% after patent expiration. Life-cycle NMB for the health system is estimated at 1,116m. During the life-cycle, the NMB significantly increased in response to two events: (i) the launch of Risperidone Long-Acting Injectable (RLAI); and (ii) generic entry. The ICER was negative (dominant) for the whole period. For Sweden, the producer surplus represents around 6% of the total surplus before patent expiration and around 1% after generic competition. Life-cycle NMB is estimated at 803m, and both NMB and ICER follow the same pattern as in the UK. Analysis shows that health systems appropriated most of the life-cycle value (surplus) generated. This suggests that, considering the entire life-cycle, the value added by SGAs to the system is higher than the value estimated using cost-effectiveness analysis at launch. Pricing and reimbursement decisions should take into account the dynamic nature of pharmaceutical markets and the value added by innovative medicines over the long-run. Copyright Ãƒâ€šÃ‚Â© 2019",TRUE,Uses comparator and measures cost/QALY outcomes.,TRUE,Other,TRUE,"['cost', 'qaly']",0.9
J508,2019,Adalimumab for non-infectious uveitis: Is it cost-effective?,"Background/Aims: Uveitis is inflammation inside the eye. Our objective was to assess the cost-effectiveness of adalimumab compared with current practice (immunosuppressants and systemic corticosteroids) in patients with non-infectious intermediate, posterior or panuveitis and to identify areas for future research. Method(s): A Markov model was built to estimate costs and benefits of the interventions. Systematic reviews were performed to identify the available relevant clinical and cost-effectiveness evidence. Data collected in two key randomised controlled trials (VISUAL I and VISUAL II) were used to estimate the interventions' effectiveness compared with the trials' comparator arms (placebo plus limited current practice (LCP)). The analysis was performed from the National Health Service and Personal Social Services perspective. Costs were calculated based on standard UK sources. Result(s): The estimated incremental cost-effectiveness ratios (ICERs) of adalimumab versus LCP for the base case are 92 600 and 318 075 per quality-adjusted life year (QALY) gained for active and inactive uveitis, respectively. In sensitivity analyses, the ICER varied from 15 579 to 120 653 and 35 642 to 800 775 per QALY for active and inactive uveitis. Conclusion(s): The estimated ICERs of adalimumab versus LCP are above generally accepted thresholds for cost-effectiveness in the UK. Adalimumab may be more cost-effective in patients with active uveitis at greater risk of blindness. However, there is an unmet need for additional primary data to provide more reliable estimates in several important areas, including effectiveness of adalimumab versus current practice (instead of LCP), incidence of long-term blindness, adalimumab effectiveness in avoiding blindness, and rates and time to remission while on adalimumab. Copyright Ãƒâ€šÃ‚Â© 2019 Author(s).",TRUE,Uses placebo comparator and measures cost-effectiveness via ICER/QALY.,TRUE,Placebo,TRUE,"['cost', 'qaly']",1
J520,2019,The budget impact of early dose optimisation with golimumab in ulcerative colitis in the UK,"Background: The PURSUIT study found that ulcerative colitis patients who were non-responders (based on full Mayo score) to subcutaneous golimumab treatment at Week 6 may benefit from receiving a dose of 100 mg golimumab from Week 6 onwards, with 28% of non-responders at Week 6 becoming responders by Week 14. The aim of this study was to assess the budget implications of optimising a patient's dose at Week 6 compared with other first-line therapies as per current clinical practice Methods: A decision tree model was designed to follow a patient's response to first-line treatment and to track a patient's progression through subsequent line of therapy. The budget impact model only considered drug costs from the perspective of the UK NHS. In total three lines of therapy were covered by the decision tree over a 1 year time horizon. Patients could have first-line treatment with one of the three treatment strategies; golimumab (current treatment practice), golimumab (dose optimisation based on the PURSUIT trial) and adalimumab. Within each of the comparator treatments dose escalation was considered, based on the median time to escalation and proportion of patients receiving dose escalation. Subsequent therapy for golimumab patients was adalimumab and patients who received adalimumab as a first-line therapy received golimumab as a second-line therapy. Response rates, time to loss of response and treatment costs were taken from published data sources. The cost of golimumab was equal between 50 mg pack and 100 mg pack. The model used assumption for second-line response rates; this has been tested in sensitivity analysis. Result(s): The use of dose optimisation for golimumab does not increase expenditure of drug costs compared with golimumab (single dose) with a cost saving of 42 per patient per year. When comparing dose optimisation for golimumab to adalimumab, golimumab was cost saving over 1 year of treatment with cost saving of 2138 per patient. The number of patients in a response health state was similar across all three treatments (47.7%, 47.6% and 45% for golimumab (single dose), golimumab (dose optimisation) and adalimumab, respectively. Conclusion(s): The implementation of dose optimisation at Week 6 for golimumab was cost saving compared with golimumab (current treatment practice) or adalimumab. The analysis highlights the need for immediate implementation of the updated GLM label in clinical practice for potentially more cost savings.",TRUE,Uses comparator and measures cost outcomes.,TRUE,Other,TRUE,"['cost', 'impact']",0.9
J522,2019,Continuous subcutaneous insulin infusion versus multiple daily injection regimens in children and young people at diagnosis of type 1 diabetes: Pragmatic randomised controlled trial and economic evaluation,"Objective To compare the efficacy, safety, and cost utility of continuous subcutaneous insulin infusion (CSII) with multiple daily injection (MDI) regimens during the first year following diagnosis of type 1 diabetes in children and young people. Design Pragmatic, multicentre, open label, parallel group, randomised controlled trial and economic evaluation. Setting 15 paediatric National Health Service (NHS) diabetes services in England and Wales. The study opened to recruitment in May 2011 and closed in January 2017. Participants Patients aged between 7 months and 15 years, with a new diagnosis of type 1 diabetes were eligible to participate. Patients who had a sibling with the disease, and those who took drug treatments or had additional diagnoses that could have affected glycaemic control were ineligible. Interventions Participants were randomised, stratified by age and treating centre, to start treatment with CSII or MDI within 14 days of diagnosis. Starting doses of aspart (CSII and MDI) and glargine or detemir (MDI) were calculated according to weight and age, and titrated according to blood glucose measurements and according to local clinical practice. Main outcome measures Primary outcome was glycaemic control (as measured by glycated haemoglobin; HbA1c) at 12 months. Secondary outcomes were percentage of patients in each treatment arm with HbA1c within the national target range, incidence of severe hypoglycaemia and diabetic ketoacidosis, change in height and body mass index (as measured by standard deviation scores), insulin requirements (units/kg/day), partial remission rate (insulin dose adjusted HbA1c <9), paediatric quality of life inventory score, and cost utility based on the incremental cost per quality adjusted life year (QALY) gained from an NHS costing perspective. Results 294 participants were randomised and 293 included in intention to treat analyses (CSI, n=144; MDI, n=149). At 12 months, mean HbA1c was comparable with clinically unimportant differences between CSII and MDI participants (60.9 mmol/mol v 58.5 mmol/mol, mean difference 2.4 mmol/mol (95% confidence interval -0.4 to 5.3), P=0.09). Achievement of HbA1c lower than 58 mmol/mol was low among the two groups (66/143 (46%) CSII participants v 78/142 (55%) MDI participants; relative risk 0.84 (95% confidence interval 0.67 to 1.06)). Incidence of severe hypoglycaemia and diabetic ketoacidosis were low in both groups. Fifty four non-serious and 14 serious adverse events were reported during CSII treatment, and 17 non-serious and eight serious adverse events during MDI treatment. Parents (but not children) reported superior PedsQL scores for those patients treated with CSII compared to those treated with MDI. CSII was more expensive than MDI by 1863 (2179; $2474; 95% confidence interval 1620 to 2137) per patient, with no additional QALY gains (difference -0.006 (95% confidence interval -0.031 to 0.018)). Conclusion During the first year following type 1 diabetes diagnosis, no clinical benefit of CSII over MDI was identified in children and young people in the UK setting, and treatment with either regimen was suboptimal in achieving HbA1c thresholds. CSII was not cost effective. Trial registration Current Controlled Trials ISRCTN29255275; European Clinical Trials Database 2010-023792-25. Copyright Ãƒâ€šÃ‚Â© Published by the BMJ Publishing Group Limited.",TRUE,Randomized controlled trial with cost and clinical outcomes.,TRUE,Other,TRUE,"['qaly', 'clinical', 'cost']",1
J537,2019,Screening Women for Abdominal Aortic Aneurysms: Clinical and Economic Effectiveness Results from a Discrete Event Simulation Model,"Introduction - Abdominal aortic aneurysm (AAA) screening programmes have been established for men in several countries. Whether screening should be extended to women is uncertain. The objective of this study was to evaluate the cost-effectiveness of population screening for AAA in women, and compare a range of screening options. Methods - A discrete event simulation model was developed to provide a clinically realistic model of screening, surveillance, and elective and emergency AAA repair in women. Input parameters specifically for women were obtained from surgical registries, published literature and national administrative datasets. Screening was modelled for women aged 65 years or over. The model was run for 10-million women, with parameter uncertainty addressed by probabilistic and deterministic sensitivity analyses. UK costs in pounds sterling were converted to Euros based on 2016 average OECD purchasing power parity. Results - The prevalence of AAA (aortic diameter 33.0cm) was estimated as 0.43% in women aged 65 years and 1.15% at age 75. The corresponding attendance rates following invitation to screening were estimated as 73% and 62%. The base-case model adopted the same age at screening (65 years), definition of AAA (33.0cm), surveillance intervals (1 year for 3.0-4.4cm AAAs, 3 months for 4.5-5.4cm) and AAA diameter for consideration of surgery (5.5cm) as in the UK NHS AAA screening programmes. For screening at age 65, per woman invited to screening, the estimated gain in QALYs was 0.00075 (just under one day of life per woman screened), and the incremental cost was 33.51 (36.33) (all values discounted). This gave an incremental cost-effectiveness ratio (ICER) of 45,000 (48,782) per quality-adjusted life-year (QALY) gained (current UK threshold for implementation approximately 20,000 (21,681)). Under the base-case model around 2800 women would need to be invited to screening to prevent one death from AAA and screening would cost 100,000 (108,406) per death from AAA prevented (non-discounted). Sensitivity analyses did not bring the ICER below 20,000 per QALY gained, with the exception of doubling the AAA prevalence to 0.86% where the ICER was 18,000 (19,513). Alternative screening options (increasing the screening age to 70 years, lowering the threshold for considering surgery to 5.0 or 4.5cm, lowering the diameter defining an AAA in women to 2.5cm, and lengthening the surveillance intervals for the smallest AAAs) did not bring the ICER below 30,000 (32,522) per QALY gained when considered either singly or in combination. Conclusion - The current UK cost-effectiveness criteria for a population-based AAA screening programme in women are not currently met. Copyright Ãƒâ€šÃ‚Â© 2019",TRUE,Uses comparator and measures cost-effectiveness outcomes.,TRUE,Other,TRUE,"['cost', 'qaly', 'impact']",0.9
J541,2019,Surgical treatments for women with stress urinary incontinence: the ESTER systematic review and economic evaluation,"<b>BACKGROUND</b>: Urinary incontinence in women is a distressing condition that restricts quality of life and results in a large economic burden to both the NHS and women themselves.
<b>OBJECTIVE</b>: To evaluate the clinical effectiveness, safety and cost-effectiveness of surgical treatment for stress urinary incontinence (SUI) in women and explore women's preferences.
<b>DESIGN</b>: An evidence synthesis, a discrete choice experiment (DCE) and an economic decision model, with a value-of-information (VOI) analysis. Nine surgical interventions were compared. Previous Cochrane reviews for each were identified and updated to include additional studies. Systematic review methods were applied. The outcomes of interest were 'cure' and 'improvement'. Both a pairwise and a network meta-analysis (NMA) were conducted for all available surgical comparisons. A DCE was undertaken to assess the preferences of women for treatment outcomes. An economic model assessed the cost-effectiveness of alternative surgeries and a VOI analysis was undertaken.
<b>RESULTS</b>: Data from 175 studies were included in the effectiveness review. The majority of included studies were rated as being at high or unclear risk of bias across all risk-of-bias domains. The NMA, which included 120 studies that reported data on 'cure' or 'improvement', showed that retropubic mid-urethral sling (MUS), transobturator MUS, traditional sling and open colposuspension were more effective than other surgical procedures for both primary outcomes. The results for other interventions were variable. In general, rate of tape and mesh exposure was higher after transobturator MUS than after retropubic MUS or single-incision sling, whereas the rate of tape or mesh erosion/extrusion was similar between transobturator MUS and retropubic MUS. The results of the DCE, in which 789 women completed an anonymous online questionnaire, indicate that women tend to prefer surgical treatments associated with no pain or mild chronic pain and shorter length of hospital stay as well as those treatments that have a smaller risk for urinary symptoms to reoccur after surgery. The cost-effectiveness results suggest that, over a lifetime, retropubic MUS is, on average, the least costly and most effective surgery. However, the high level of uncertainty makes robust estimates difficult to ascertain. The VOI analysis highlighted that further research around the incidence rates of complications would be of most value.
<b>LIMITATIONS</b>: Overall, the quality of the clinical evidence was low, with limited data available for the assessment of complications. Furthermore, there is a lack of robust evidence and significant uncertainty around some parameters in the economic modelling.
<b>CONCLUSIONS</b>: To our knowledge, this is the most comprehensive assessment of published evidence for the treatment of SUI. There is some evidence that retropubic MUS, transobturator MUS and traditional sling are effective in the short to medium term and that retropubic MUS is cost-effective in the medium to long term. The VOI analysis highlights the value of further research to reduce the uncertainty around the incidence rates of complications. There is a need to obtain robust clinical data in future work, particularly around long-term complication rates.
<b>STUDY REGISTRATION</b>: This study is registered as PROSPERO CRD42016049339.
<b>FUNDING</b>: The National Institute for Health Research Health Technology Assessment programme.",TRUE,Uses comparator and measures cost-effectiveness and clinical outcomes.,TRUE,Other,TRUE,"['cost', 'clinical', 'impact']",0.9
J545,2019,"Estimating the cost-effectiveness of salt reformulation and increasing access to leisure centres in England, with PRIMEtime CE model validation using the AdViSHE tool","BACKGROUND: PRIMEtime CE is a multistate life table model that can directly compare the cost effectiveness of public health interventions affecting diet and physical activity levels, helping to inform decisions about how to spend finite resources. This paper estimates the costs and health outcomes in England of two scenarios: reformulating salt and expanding subsidised access to leisure centres. The results are used to help validate PRIMEtime CE, following the steps outlined in the Assessment of the Validation Status of Health-Economic decision models (AdViSHE) tool. METHOD(S): The PRIMEtime CE model estimates the difference in quality adjusted life years (QALYs) and difference in NHS and social care costs of modelled interventions compared with doing nothing. The salt reformulation scenario models how salt consumption would change if food producers met the 2017 UK Food Standards Agency salt reformulation targets. The leisure centre scenario models change in physical activity levels if the Birmingham Be Active scheme (where swimming pools and gym access is free to residents during defined periods) was rolled out across England. The AdViSHE tool was developed by health economic modellers and divides model validation into five parts: validation of the conceptual model, input data validation, validation of computerised model, operational validation, and other validation techniques. PRIMEtime CE is discussed in relation to each part. RESULT(S): Salt reformulation was dominant compared with doing nothing, and had a 10-year return on investment of 1.44 (0.50 to 2.94) for every 1 spent. By contrast, over 10 years the Be Active expansion would cost 727,000 (514,000 to 1,064,000) per QALY. PRIMEtime CE has good face validity of its conceptual model and has robust input data. Cross-validation produces mixed results and shows the impact of model scope, input parameters, and model structure on cost-per-QALY estimates. CONCLUSION(S): This paper illustrates how PRIMEtime CE can be used to compare the cost-effectiveness of two different public health measures affecting diet and physical activity levels. The AdViSHE tool helps to validate PRIMEtime CE, identifies some of the key drivers of model estimates, and highlights the challenges of externally validating public health economic models against independent data.",TRUE,Uses a comparator and measures cost/QALY outcomes.,TRUE,No intervention/Do nothing,TRUE,"['cost', 'qaly']",1
J547,2019,"Individualised screening for diabetic retinopathy: The ISDR study-a randomised controlled trial of safety, efficacy, and cost-effectiveness","Background: Varying the intervals in retinopathy screening informed by personal risk offers reallocation of resources to better target high risk groups and address the increasing prevalence of diabetes. However, safety data especially on extended intervals is minimal. Aim(s): To evaluate the safety, efficacy and cost effectiveness (CE) of individualized variable-interval risk-based screening in a population setting compared to usual care. Method(s): Masked 2 arm, parallel assignment, equivalence RCT (largest to date in screening) with independent trials unit monitoring in people with diabetes aged >=12 years attending screening in a single English program. Randomization was 1:1 to individualized screening (active group; 6, 12 or 24 months for high, medium and low risk) determined by a risk calculation engine using real-time local demographic, retinal and clinical data, compared with annual screening (control). CE analysis measuring NHS and societal costs took a 2-year time horizon. Finding(s): 4534 participants entered the study-after withdrawals/loss to follow-up: active 2097; control 2224. Attendance rates at first follow-up visit (primary outcome, safety) were equivalent (per protocol analysis, 5% margin): active 83.6% control 84.7% (difference 1.0, 90% CI-0.8, 2.9). STDR detection rates were non-inferior (1.5% margin): active 1.43% control 1.71% (difference-0.28, CI-0.93, 0.36). Quality of life (EQ5D5L, HUI3) was not significantly different between the groups. Incremental cost saving per person was 18.75 (NHS cost) rising to 49.96 with societal costs. A 39.3% reduction in number of appointments was seen. Conclusion(s): All parties involved in diabetes care can be reassured that extended and personalized screening intervals can safely be introduced in established screening program. Scale-up with further validation outside a research setting is recommended. Views expressed are solely those of the authors.",TRUE,RCT with usual care comparator and primary outcomes on cost and safety.,TRUE,Usual/Standard care,TRUE,"['cost', 'safety', 'clinical', 'impact']",1
J551,2019,Cost effectiveness of letermovir as prophylaxis of clinically significant cytomegalovirus reactivation and disease in adult CMV-seropositive allogeneic haematopoietic stem cell transplant: A Scottish payer perspective,"Background: Data from a recent phase III clinical trial has demonstrated the efficacy of letermovir as prophylaxis against CMV reactivation in adult CMV-seropositive recipients of an allogeneic haematopoietic stem-cell transplant (HSCT). The objective of this cost-effectiveness analysis is to evaluate the clinical and economic value of letermovir when compared to pre-emptive treatment from the payer perspective in Scotland. Method(s): A decision-analytic model evaluated total costs and lifetime quality-adjusted life-years (QALY's) from the perspective of the National Health Service (NHS) and social work in Scotland. Efficacy data, including rates of preemptive therapy for CMV infection, CMV disease, rehospitalization, mortality, and quality of life were incorporated from clinical trial data at 24 weeks posttransplant. The primary endpoint of the trial was clinically significant CMV-infection at week 24 post-transplant. Costs of preemptive treatment, CMV disease, and other trial outcomes were obtained from published sources. Life-years during the first 24 weeks were estimated from the mortality observed in the clinical trial. Life-years post 24 weeks were estimated for the week 24 survivors by applying a relative risk of death for HSCT to the general mortality risk from the life tables for Scotland (2014-16). Utility values were applied based on EQ-5D data collected in the clinical trial and longer-term data from published sources. The annual cost to treat 1-year survivors was based on a proportion of patients receiving 2 years of immunosuppressive agent treatment for chronic graft-versus-host disease (onset 100 days after transplant). Sensitivity analysis explored the impact of including data from the extended follow-up period, where various endpoints were collected through 48 weeks post-transplant. The model used an annual discount rate of 3.5%. Result(s): In the base-case analysis, letermovir reduced the number CMV infections requiring pre-emptive treatment vs standard of care (SoC) (20.0% vs 49.3%) at 24 weeks posttransplant. Prophylaxis with letermovir resulted in lower allcause mortality at week 24 in comparison to SoC (10.2% vs. 15.9%), and a mean increase in life-years (+0.46), QALY's (+0.41) and total costs up to week 24 post-HSCT per patient. This resulted in an incremental costeffectiveness ratio (ICER) of 12,659 per QALY gained. The sensitivity analysis using data from 48 weeks posttransplant did not have a significant effect on the results. Results of a probabilistic sensitivity analysis indicated that letermovir was cost effective in 77.4% of iterations at 20,000 per QALY gained and 87.6% of iterations at 30,000 per QALY gained. Conclusion(s): The results of this model would suggest that the prophylaxis use of letermovir is a cost-effective treatment strategy at commonly accepted ICER thresholds. The model inputs with a greatest impact on the results were a reduction in the rate of mortality, increasing the age of patients treated with letermovir, and an increase in the cost of prophylaxis for letermovir.",TRUE,Uses comparator and measures cost/QALY outcomes.,TRUE,Usual/Standard care,TRUE,"['cost', 'qaly', 'clinical']",1
