id,Year,Title,Abstract,include_stage2,reason_stage2,include_stage3,reason_stage3,include_stage4,reason_stage4,publication_type,confidence_stage4,include_stage5,reason_stage5,has_comparator,detected_comparator,has_primary_outcomes,detected_outcomes,confidence_stage5,include_stage6,reason_stage6,main_shift,shifts_detected,confidence_stage6,include_stage7,reason_stage7,cash_saving_terms,confidence_stage7
J515,2019,What evidence is available to support the development of a regional specialist neurorehabilitation outreach service,"Background The WHO recognises several specialist rehabilitation provision models; in-patient, outpatient and outreach. Intensive early neurorehabilitation is required after severe Acquired Brain Injury (ABI), usually necessitating in-patient care. In the UK, children receiving specialist neurorehabilitation often remain in-patients for long periods because of the lack of appropriate out-of-hospital provision. Aims To explore feasibility and funding implications of developing a regional specialist neurorehabilitation outreach service to facilitate earlier discharge. Methods Analysis of data on children receiving in-patient neurorehabilitation at a paediatric Regional Neuroscience Centre (RNSC), 2014-2018. Information concerning therapy provision was obtained from Trust Clinical Information System Suite (CISS). Patient dependency and rehabilitation complexity was assessed by Rehabilitation Complexity Scale-Extended (RCS-E), scored by multi-disciplinary team (MDT) at weekly meetings over 15 months. For modelling purposes, a specialist neurorehabilitation outreach tariff equating to 50% in-patient tariff was assumed. Data analysis was undertaken by linear programming model (XpressIveÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â©) and Discrete-Even Simulation (Simul8 ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â©).Various eligibility criteria for outreach provision were modelled: 1) needing >=1 therapies<3 times/week; 2) Total RCS-E score <9,<11 or<13; 3) Therapy Dependency (TD) +Therapy Intensity (TI) components of RCS-E <5. Results 156 children received neurorehabilitation as in-patients over 4 years. Mean age=7.34 years (range 0.1-17). 66 (55%) were male, 53 (45%) female. 84% had ABI, others acquired spinal injury, acute polyneuropathy or somatisation disorders. 52% lived >40 miles from RNSC, 47%>60 min' drive away. 49% were inpatients 1-28 days; 34%, 29-84 days; 18, 85-168 days; 6,>168 days. Patients showed significant functional improvements between admission to neurorehabilitation and discharge (p<0.001). Modelling suggests 14 outreach centres, including RNSC, would be required to permit 78% patients to access specialist neurorehabilitation <30 mins drive from home; 10 centres would permit 92% to access neurorehabilitation <45 min' drive away; 8 centres would permit 96% to access neurorehabilitation <60 min' drive away. Calculations assuming outreach tariff=50% in-patient tariff, and various RCS data models, suggest annual cost savings ranging from 53,424-166,950; calculations based on CISS data, suggest average savings of 1 05 596 per year (range 98,500-113,526). Conclusion Modelling supports the feasibility and affordability of specialist neurorehabilitation outreach provision, although efficacy remains uncertain.",TRUE,"Study conducted in the UK, references NHS and UK setting.",TRUE,Study involves neurorehabilitation in NHS settings.,TRUE,"Research article likely peer-reviewed, not a protocol or commentary.",Peer-reviewed,0.9,TRUE,Uses pre/post comparison and measures cost and clinical outcomes.,TRUE,Other,TRUE,"['clinical', 'cost', 'utilization']",0.9,TRUE,Models community-based neurorehabilitation to reduce inpatient stays.,Community,Community,0.9,TRUE,The article explicitly mentions annual cost savings from the outreach service.,['net saving'],0.9
J547,2019,"Individualised screening for diabetic retinopathy: The ISDR study-a randomised controlled trial of safety, efficacy, and cost-effectiveness","Background: Varying the intervals in retinopathy screening informed by personal risk offers reallocation of resources to better target high risk groups and address the increasing prevalence of diabetes. However, safety data especially on extended intervals is minimal. Aim(s): To evaluate the safety, efficacy and cost effectiveness (CE) of individualized variable-interval risk-based screening in a population setting compared to usual care. Method(s): Masked 2 arm, parallel assignment, equivalence RCT (largest to date in screening) with independent trials unit monitoring in people with diabetes aged >=12 years attending screening in a single English program. Randomization was 1:1 to individualized screening (active group; 6, 12 or 24 months for high, medium and low risk) determined by a risk calculation engine using real-time local demographic, retinal and clinical data, compared with annual screening (control). CE analysis measuring NHS and societal costs took a 2-year time horizon. Finding(s): 4534 participants entered the study-after withdrawals/loss to follow-up: active 2097; control 2224. Attendance rates at first follow-up visit (primary outcome, safety) were equivalent (per protocol analysis, 5% margin): active 83.6% control 84.7% (difference 1.0, 90% CI-0.8, 2.9). STDR detection rates were non-inferior (1.5% margin): active 1.43% control 1.71% (difference-0.28, CI-0.93, 0.36). Quality of life (EQ5D5L, HUI3) was not significantly different between the groups. Incremental cost saving per person was 18.75 (NHS cost) rising to 49.96 with societal costs. A 39.3% reduction in number of appointments was seen. Conclusion(s): All parties involved in diabetes care can be reassured that extended and personalized screening intervals can safely be introduced in established screening program. Scale-up with further validation outside a research setting is recommended. Views expressed are solely those of the authors.",TRUE,Study conducted in a single English program with NHS cost analysis.,TRUE,Study occurs in an NHS screening program.,TRUE,Peer-reviewed article on RCT study.,Peer-reviewed,0.9,TRUE,"RCT with usual care comparator and primary outcomes on cost, safety, and clinical impact.",TRUE,Usual/Standard care,TRUE,"['cost', 'clinical', 'safety', 'utilization', 'pro']",0.95,TRUE,Individualised screening aims to prevent complications in diabetic retinopathy.,Prevention,Prevention,0.95,TRUE,"The article reports an incremental cost saving per person, indicating a net saving.",['net saving'],0.9
J549,2019,Assessing the early impact of enhanced NHS england (NHSE) funding on footcare services,"Background: A key aim of the National Diabetes Treatment and Care Programme is to improve footcare services. In Sheffield, this investment was used primarily to expand the foot protection team (FPT) and in prevention strategies. Aim(s): To assess if there has been a benefit for patients and if the spending has been cost-effective. Method(s): Ulcer severity in patients presenting to the Multi-Disciplinary Foot Team (MDFT) (SINBAD score >3 = severe, <3 = mild) was tracked between 2013 and 2018, to determine whether the proportion of severe ulcers had declined. Cost calculations were based on the 'Economic Case for Change' paper (Marion Kerr, 2017); weekly cost of a mild ulcer-77, severe ulcer-359. Result(s): The percentage of ulcers presenting as severe from 2013-2017 (prior to additional investment) was 27%, 32%, 43%, 47% and 46% respectively. In 2018, to date, this has fallen to 36%. Our mean healing time for a mild ulcer is 12.6 weeks (974) vs a severe ulcer at 16.3 weeks (5,847). This represents an approximate reduction in the costs of managing foot ulcers from 326,000/100 patients (pre-investment) to 273,000/100 patients (post-investment), a saving of 53,000/100 patients. Approximately 500 patients with new ulcers are seen by our MDFT each year, giving a total estimated saving of 268,000. If the percentage of severe ulcers returned to the baseline of 2013 (27%), savings would total around 487,000/100 patients. Conclusion(s): These data show that, within a very short timescale, the enhanced NHSE funding and added investment in prevention strategies reduced severe ulcers, giving patients' better quality of life, shorter healing times, and is cost-effective.",TRUE,"Study conducted in UK setting, references NHS England and Sheffield.",TRUE,Study occurs in NHS settings with footcare services.,TRUE,Appears to be a peer-reviewed study.,Peer-reviewed,0.9,TRUE,Pre/post comparison with cost and clinical outcomes.,TRUE,Other,TRUE,"['cost', 'clinical', 'pro']",0.95,TRUE,Focus on prevention strategies reducing severe ulcers.,Prevention,Prevention,0.9,TRUE,"The article reports a clear expenditure reduction of 53,000/100 patients.",['expenditure reduction'],0.9
J556,2019,Low Back and Radicular Pain Including Symptomatic Spinal Stenosis,"Back pain is the largest single cause of disability in the UK, with lower back pain alone accounting for 11% of the total disability of the UK population. Currently there is enormous geographical variation in the pathways, costs and outcomes of patients with back pain. Despite existing evidence there are a significant number of treatments with low clinical value still in use. The NHS England Trauma Programme of Care Board selected Low Back Pain and Radicular Pain as a pathfinder project in 2013. A clinical group of 30 stakeholder representatives worked collaboratively to produce an agreed, seamless pathway, extending from first contact in primary care through to secondary care and specialist services. This pathway was updated in 2017 following the publication of NICE NG59 and is endorsed in the 2019 GIRFT report. The National Back and Radicular Pain Pathway (NBRPP) is recognised as the commissioning pathway of choice for CCG's. Implementation of the NBRPP is currently being driven through Right Care and GIRFT. National Back and Radicular Pain Pathway. Where implemented, evaluation of the pathway provides evidence that the NBRPP results in substantial cost saving through reducing; admissions for back pain (with or without radicular pain), therapeutic injections for back pain, readmissions and spinal fusions for back pain. This session will use case studies to explore the recommended pathway of care for people with: * Back pain who are at risk of persisting disability * Severe radicular pain, best managed with injection or surgery * Symptomatic spinal stenosis which can be managed conservatively..",TRUE,"Study applied to a UK setting, references NHS and UK-specific pathways.",TRUE,Study involves NHS pathways from primary to specialist care.,TRUE,"Unclear publication type, flagged for review",Unknown,0.6,TRUE,Comparative evaluation of pathway with cost and utilization outcomes.,TRUE,Other,TRUE,"['cost', 'utilization']",0.9,TRUE,"Pathway reduces hospital admissions, shifting care to community.",Community,Community,0.9,TRUE,The article explicitly mentions substantial cost saving through reducing admissions and procedures.,['expenditure reduction'],0.9
J598,2019,A modelling study of the budget impact of improved glycaemic control in adults with Type 1 diabetes in the UK,"Aims: To develop a novel interactive budget impact model that assesses affordability of diabetes treatments in specific populations, and to test the model in a hypothetical scenario by estimating cost savings resulting from reduction in HbA<inf>1c</inf> from >=69 mmol/mol (8.5%) to a target of 53 mmol/mol (7.0%) in adults with Type 1 diabetes in the UK. Method(s): A dynamic, interactive model was created using the projected incidence and progression over a 5-year horizon of diabetes-related complications (micro- and macrovascular disease, severe hypoglycaemia and diabetic ketoacidosis) for different HbA<inf>1c</inf> levels, with flexible input of population size, complications and therapy costs, HbA<inf>1c</inf> distribution and other variables. The model took a National Health Service and societal perspective. Result(s): The model was developed, and in the proposed hypothetical situation, reductions in complications and expected costs evaluated. Achievement of target HbA<inf>1c</inf> in individuals with HbA<inf>1c</inf> >=69 mmol/mol (8.5%) would reduce expected chronic complications from 6.8 to 1.2 events per 100 person-years, and diabetic ketoacidosis from 14.5 to 1.0 events per 100 person-years. Potential cumulative direct cost savings achievable in the modelled population were estimated at 687 m over 5 years (5,585/person), with total (direct and indirect) savings of 1,034 m (8,400/person). Conclusion(s): Implementation of strategies aimed at achieving target glucose levels in people with Type 1 diabetes in the UK has the potential to drive a significant reduction in complication costs. This estimate may provide insights into the potential for investment in achieving savings through improved diabetes care in the UK. Copyright ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2019 Diabetes UK",TRUE,"Study is applied to a UK setting, mentions NHS and UK.",TRUE,Study uses NHS perspective for diabetes care cost impact.,TRUE,Peer-reviewed article in a reputable journal,Peer-reviewed,0.9,TRUE,Modelled scenario with cost and clinical outcomes,TRUE,Other,TRUE,"['cost', 'clinical']",0.95,TRUE,Modeling prevention of diabetes complications.,Prevention,Prevention,0.9,TRUE,The article estimates potential cumulative direct cost savings over 5 years.,"['net saving', 'expenditure reduction']",0.9
J2856,2021,Results of the avoiding late diagnosis of ovarian cancer (ALDO) project; A pilot national surveillance program for brca mutationcarriers,"Introduction/Background * Ovarian cancer (OC) in BRCA mutation-carriers is typically diagnosed clinically at >=stage 3c, with consequent poor prognosis. Risk-reducing salpingooophorectomy (RRSO) is recommended for BRCA mutationcarriers as the only proven method of OC prevention. Women who defer RRSO to permit child-bearing/prevent premature menopause would benefit from surveillance which can downstage OC occurring prior to RRSO. We wanted to establish the 'real world' performance of OC surveillance which we have previously shown downstages OC in clinical trials. Methodology 875 female BRCA mutation-carriers were recruited at 13 UK centres and via a media campaign and underwent 4-monthly surveillance with the Risk of Ovarian Cancer Algorithm (ROCA) blood test. They had a 6 week repeat test if their ROCA score was >1 in 1000, and a transvaginal scan (TVS) in addition, if their risk was > 1 in 500. Women with a score >1 in 33 or those with concerning TVS were referred to a rapid access clinic to rule out OC. RRSO was encouraged throughout the program. Participants were followed via questionnaires, notification by centres/GPs and direct contact. Surveillance performance was calculated after censoring 4 months after prior screen, with modelling of occult cancers detected at RRSO. Incremental cost-effectiveness was calculated using a Markov population cohort simulation. Result(s)* 8 OCs occurred during 1277 women screen years; 2 occult OCs at RRSO (both stage 1a), 6 screen-detected OCs (3 prevalent; stage 2a, 3aii and 3c, 3 incident; stage 1a, 3b and 4b). 4 of 6 (67%) screen-detected OCs were diagnosed at stages <3c. 7 of 8 (87.5%) screen-detected cancers were completely cytoreduced. There were no interval cancers. Modelled sensitivity, specificity, PPV and NPV for OC were 87.5% (CI, 47.3-99.7), 99.9%(99.9-100), 75%(34.9-96.8) and 99.9% (99.9-100) respectively. Economic modelling indicated that surveillance would be cost-saving within the UK National Health Service. Conclusion* OC surveillance for women declining RRSO in a 'real-word' setting is feasible and equally effective as in research trials, resulting in successful downstaging with likely clinical benefit and healthcare cost savings. Whilst RRSO remains the recommended management for BRCA-carriers, ROCA-based surveillance is a viable interim option for those who defer such surgery.",TRUE,Study conducted at 13 UK centres and involves NHS.,TRUE,"Study conducted in UK centres, likely NHS settings.",TRUE,Peer-reviewed research article on ovarian cancer surveillance.,Peer-reviewed,0.9,TRUE,Uses modelling for cost-effectiveness and measures clinical impact.,TRUE,Other,TRUE,"['clinical', 'cost']",0.9,TRUE,Surveillance aims to prevent late-stage ovarian cancer.,Prevention,Prevention,0.95,TRUE,The article states that surveillance would be cost-saving within the NHS.,['net saving'],0.9
J2893,2021,Virtual patient assessment for hand fracture management: A departmental analysis of financial and clinical implications,"Introduction: The COVID-19 pandemic demanded reduced face-to-face (FTF) contact. Our department integrated virtual assessment into the incoming referral pathway to enable continuation of high-quality care. This study aimed to assess any potential efficiency benefit of this change in service whilst ensuring no compromise to clinical outcomes. Method(s): A prospective analysis was undertaken of all hand fractures referred virtually during a seven-week period starting at the initiation of national lockdown. Cost analysis using NHS reference costs, inflated to 2019/20 prices, was performed. Clinical performance was assessed using the British Society for Surgery for the Hand (BSSH) Standards for Open and Closed Hand Fractures. Result(s): Seventy-six hand fractures were referred; FTF attendance was avoided in 35 cases, with an estimated per-patient cost saving of 179.16. Of the 33 patients who attended FTF, 13 achieved same day non-operative treatment; 20 underwent operative intervention with 95% compliance to BSSH standards. No complications occurred. Conclusion(s): Our pilot model demonstrates potentially significant cost savings of 6270 over a relatively short period, as well as clinical noninferiority. This supports sustained integration of virtual patient assessment in the 'new normal'. Further work across all disciplines is needed to define acceptable limits of telemedicine and new avenues for potential benefit.",TRUE,Mentions NHS and UK-specific standards,TRUE,Study involves NHS virtual assessment for hand fractures.,TRUE,Peer-reviewed article on virtual patient assessment.,Peer-reviewed,0.9,TRUE,Comparative cost and clinical outcomes assessed with virtual vs FTF care.,TRUE,Other,TRUE,"['cost', 'clinical', 'utilization']",0.95,TRUE,"Virtual assessment replaces FTF, reducing admin burden.",Digital,Digital,0.9,TRUE,The article explicitly states a cost saving of 6270 over a short period.,['net saving'],0.9
J2895,2021,"How to save a small fortune! Improving the quality, clinical and cost effectiveness of oral nutritional supplement (ONS) prescribing in NHS Scotland","Introduction : In 2016 work began to accelerate transformational change for high quality, clinically and cost-effective patient care and oral nutritional supplement (ONS) prescribing in line with the Scottish Government's Quality Ambitions and Once for Scotland vision. Method(s): Sustained development has been enabled through an inter-professional Short Life Working Group (SLWG) and continued collaboration between the Scottish Dietetic Prescribing Support Group, Dietetic Leadership Network and Effective Prescribing & Therapeutics branch (Scottish Government). Result(s): All 14 NHS Boards in Scotland are progressing with implementing the SLWG's 12 key recommendations, published 2018. Key results: 1. Current data (2019) indicates improvement to the appropriateness of ONS prescribing; annual Scottish % variance ONS volume use (+3.8% 2015-16; -4% 2018-19) and cost (16 million 2015-16; 11 million 2018-19). 2. Standardised ONS prescribing data reporting and analysis is now used by all 14 NHS Boards in Scotland to continually drive improvement 3. Formulary variation is being reduced through Scotland wide Best Practice Guidance for Adult ONS Formulary Development 4. Continuous improvement to unwarranted variation in practice and processes has been driven through findings from structured interviews, e-surveys and a focus group. Scotland wide Guidelines for appropriate prescribing of ONS have been published. A Once for Scotland approach is being taken to patient/public information. There are also recommendations for the development of Best Practice Principles for dietitians and pre and post registration dietetic training. 5. New models of care, including the use of Technology Enabled Care, are currently being trialled in several NHS Boards to create transformational change in dietetic practice in line with NHS Scotland priorities Conclusion(s): Inter-professional working and shared learning has unlocked the potential to support improvement to the quality, clinical and cost-effectiveness of patient care and the development of equitable care pathways and health systems across Scotland - and perhaps beyond!.",TRUE,"Study conducted in NHS Scotland, a UK setting.",TRUE,Study involves NHS Scotland settings for ONS prescribing.,TRUE,"Appears to be grey literature, likely a report or conference abstract.",Grey literature,0.8,TRUE,Pre/post numeric deltas with cost and clinical outcomes.,TRUE,Other,TRUE,"['cost', 'clinical']",0.9,TRUE,Technology Enabled Care trials suggest a shift towards digital solutions.,Digital,Digital,0.9,TRUE,The article reports an expenditure reduction from 16 million to 11 million.,['expenditure reduction'],0.9
J2906,2021,A review of emergency models of care for cancer patients,"Introduction Emergency departments (ED) are considered sub-optimal to satisfy the needs of cancer patients. Various international groups have developed strategies to improve the acute attention of cancer patients. This study aims to review the existing evidence on the effectivity of various innovative models of care for cancer emergency attention. Methods Literature review of seven databases during the period 2000-2019, including articles published in English and Spanish. Results A total of 10 articles were included: four descriptive studies, three quasi-experimental studies, two retrospective studies, and a qualitative study. They described new strategies in common ED clinical pathways or the creation of specialized units for the attention of cancer emergencies. The authors report reductions in the number of admissions, length of hospital stay and, furthermore, cost reductions. A previous triage and telephone attention service is considered key to increase the efficiency of the interventions. The authors reflect the importance of multidisciplinary attention, early integration of palliative care, and effective coordination with community services. Conclusions Enhancing the care of cancer patients who require emergency attention is possible through the creation of specific pathways or dedicated units staffed with professionals who are knowledgeable about cancer complications and treatment secondary effects. Specialized emergency cancer units seem to be a feasible and safe alternative to EDs, preventing overcrowding in the ED and avoiding unnecessary hospital admissions.",TRUE,"Unclear setting, flagged for review",TRUE,"Study involves emergency care models for cancer patients, likely in hospital settings.",TRUE,Peer-reviewed article reviewing emergency care models for cancer patients.,Peer-reviewed,0.9,TRUE,Comparative effects on cost and impact reported.,TRUE,Other,TRUE,"['clinical', 'cost', 'utilization']",0.9,TRUE,Specialized units and coordination with community services.,Community,Community; Prevention,0.9,TRUE,The article reports cost reductions explicitly.,['expenditure reduction'],0.9
J6207,2025,Economic evaluation of a hospital-initiated tobacco dependence treatment service,"The treatment of tobacco dependence in patients admitted to hospital is a priority for the National Health Service in England. We conducted an economic analysis of a pilot intervention adapted from the Ottawa Model of Smoking Cessation, implemented in a major teaching hospital in London, England. The cost-per-patient, cost-per-quit and Incremental Cost Effectiveness Ratio were estimated for 673 patients who smoked and who received the intervention after being admitted to one of 11 acute wards between July 2020 and June 2021. Patient-level readmission costs and bed-days from six months after discharge were compared between the intervention group and a group of benchmark patients who smoked and who did not receive the intervention. The total cost of the intervention was 178,105. On the basis of 104 patients who reported not smoking at six months, the cost-per-quit was 1712.55. Among 611 patients who were successfully matched to a benchmark cohort, re-admissions for patients in the intervention group cost 492k less than their benchmark equivalents over 21 months from January 2021 to September 2022 (266k vs 758k), incurred 414 fewer bed days (303 vs 717), and re-admitted at a lower rate (5% vs 11%). Lower readmission rates and costs were associated with the intervention regardless of patient smoking status at six months, except among those who had opted out. A pilot tobacco dependence treatment intervention implemented in an acute hospital setting in London demonstrated value for money through reduced readmission rates and costs among all patients who received it. Copyright The copyright holder for this preprint is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY 4.0 International license.",TRUE,"Study conducted in London, England with NHS involvement.",TRUE,Study occurs in an NHS hospital setting.,TRUE,"Unclear publication type, flagged for review",Unknown,0.7,TRUE,Uses benchmark comparator and measures cost and clinical outcomes.,TRUE,Other,TRUE,"['cost', 'clinical', 'utilization']",0.95,TRUE,Hospital-based intervention aims to prevent readmissions.,Prevention,Prevention,0.9,TRUE,"The article reports a reduction in readmission costs, indicating expenditure reduction.",['expenditure reduction'],0.9
