id,Year,Title,Abstract,include_stage4,reason_stage4,has_comparator,detected_comparator,has_primary_outcomes,detected_outcomes,confidence_stage4
J509,2019,"Burden of varicella complications in secondary care, England, 2004 to 2017","Background: Strategies to control varicella vary across Europe. Evidence from established programmes has prompted the United Kingdom to re-evaluate the need for universal vaccination. The burden of complicated varicella is a key parameter in the cost-effectiveness analysis. Aim(s): Our objective was to estimate the burden of complicated varicella in England. Method(s): This electronic health record surveillance study used data from all NHS hospitals in England to identify varicella admissions between 2004 and 2017. The incidence of pre-defined complications of varicella was estimated using ICD-10 codes. Inpatient costs were calculated based on the payment rules for providers of NHS services. Result(s): There were 61,024 admissions with varicella between 2004 and 2017 and 38.1% had a recognised varicella complication. Incidence of hospitalisation increased by 25% and the proportion with complicated varicella by 24% from 2004/05 to 2016/17. The most common complications were bacterial skin infections (11.25%), pneumonia (4.82%), febrile convulsions (3.39%) and encephalitis (2.44%). Complication rates were higher in older age groups and the type of complications more severe. Length of stay for complicated varicella was 3.1 times longer than for uncomplicated varicella and inpatient costs were 72% greater. Conclusion(s): Complicated varicella has a substantial health and economic burden. These data together with data on impact on quality of life are important in informing the cost-effectiveness analysis of universal varicella vaccination. Copyright Ãƒâ€šÃ‚Â© 2019 European Centre for Disease Prevention and Control (ECDC). All rights reserved.",FALSE,No comparison group detected,FALSE,Unknown,TRUE,"['cost', 'impact']",0.9
J511,2019,Switching from originator infliximab to CT-P13: Single-centre experience from the UK,"Background: The infliximab biosimilar (CT-P13) received market authorisation for inflammatory bowel disease in late 2016 with the aim of reducing cost and increasing access to therapy. The prospect of 'switching' patients from originator to CT-P13 has concerned clinicians. #8232;We present an experience of 'switching' from originator infliximab (IFX-O) to CT-P13 and present efficacy, safety, and immunogenicity data from our cohort. Method(s): We performed a retrospective review of patients switched from IFX-O to CT-P13. Disease demographics, clinical course and outcomes were analysed from electronic case records at a median of 8 months and at last follow-up at 13 months. Result(s): Ninety-six patients (35 females) were 'switched' from IFX-O to CT-P13. Of these 44 had Ulcerative colitis (UC) and 52 had Crohn's disease (CD) with a mean age at diagnosis of 34.7 years (median = 33, IQR = 24.5). Montreal phenotype for UC was E1 = 1, E2 = 16, E3 = 27 and for CD (L1 = 10, L2 = 12 , L3 = 29, L4 = 1) and (B1 = 27, #8232;B2 = 14 , B3 = 11), 9 patients had perianal disease. Mean duration of IFX-O treatment was 49. 8 months (median = 44, IQR = 52) and on CT-P13 11.5 months (median 13). At switch, 76 patients had a normal CRP (UC = 33, CD = 43), and in 15 patients it was elevated (UC = 10, CD = 5). At 8 months, 80 patients remained in biochemical remission (UC = 35, CD = 45 ) and in 14 patients (UC = 8, CD = 6 ) CRP increased. Seventy-two patients (UC = 34, CD = 38 ) were in clinical remission (pMayo < 2 and HBI < 5). Of 51 patients (UC = 21, CD = 30) undergoing endoscopic assessment, 31 achieved mucosal healing (UC = 13, CD = 18). At 13 months, 69 patients remained on CT-P13. Twenty-seven discontinued the drug due to immunogenicity (n = 10), loss of response (n = 5), surgery (n = 5), remission (n = 5) , side effects (n = 2 ), and 1 patient died of hospital acquired pneumonia. 39 out of 96 patients had therapeutic drug levels checked within 13 months of switch, of whom 27 had sub-therapeutic levels (below 4 mug/ml). Antibodies to Infliximab were seen in 15 of 39 patients (38.5%), of whom 8 were switched to an alternative biologic, 2 had dose escalation (10 mg/kg IFX), 4 patients stopped IFX with no other intervention, and 1 person continued treatment at same dose with low antibody titre of 6. Conclusion(s): Biosimilar IFX (CT-P13) was well tolerated. Clinical efficacy and loss of response rates with CT-P13 appears to be similar to IFX-O. This holds promise for a wider adoption of 'switching' to fulfil the purported aims of wider access to treatment at a lower cost.",FALSE,No comparison group detected,FALSE,Unknown,TRUE,"['clinical', 'safety', 'impact']",0.9
J512,2019,Switching from originator infliximab to CT-P13: A UK single centre experience,"Introduction and Aims The infliximab biosimilar (CT-P13) received market authorization for inflammatory bowel disease in late 2016 with the aim of reducing cost and increasing access to therapy. The prospect of 'switching' patients from originator to CT-P13 has concerned clinicians.We present an experience of 'switching' from originator infliximab (IFX-O) to CT-P13 and present efficacy, safety and immunogenicity data from our cohort. Methods We performed a retrospective review of patients switched from IFX-O to CT-P13 at our center. Disease demographics, clinical course and outcomes were analysed from electronic case records at 8 months and at last follow-up at 13 months. Results Ninety-six patients (35 female) were 'switched' from IFX-O to CT-P13. Of these 44 had Ulcerative colitis (UC) and 52 had Crohn's disease (CD) with a mean age at diagnosis of 34.7 years (median= 33, IQR = 24.5). Montreal phenotype for UC was Proctitis( E1) = 1, Left sided(E2) = 16,Pancolitis ( E3) = 27 and for CD (L1 = 10,L2 = 12, L3 = 29, L4 = 1) and ( B1 = 27,B2 = 14, B3 = 11), 9 patients had perianal disease. Mean duration of IFX-O treatment before switching was 49.8 months (median = 44, IQR = 52) and on CT-P13 11.5 months (median 13). At switch, 76 patients had a normal CRP (UC = 33, CD = 43), and in 15 patients it was elevated (UC= 10, CD= 5). At 8 months, 72 patients (UC = 34, CD = 38) were in clinical remission (pMayo < 2 and HBI < 5) and 80 patients remained in biochemical remission (UC= 35,CD= 45). In 14 patients (UC= 8,CD= 6 ) CRP increased. Of 51 patients (UC= 21, CD= 30) undergoing endoscopic assessment, 31 achieved mucosal healing (UC =13, CD= 18). At 13 months 69 patients remained on CT-P13. 28% discontinued the drug due to immunogenicity(n=10), loss of response(n=5), surgery(n=5), remission (n=5), side effects (n=2) and 1 patient died of hospital acquired pneumonia. 39 out of 96 patients had therapeutic drug levels checked within a median of 13 months from switch. 27 had sub-therapeutic levels (below 4ug/ml ),11 of which were switched to another biologic, 5 referred for surgery, 4 had dose escalated to 10 mg/kg, 5 continued CT-P13( 4 with no antibodies seen and 1 with antibodies of 127),one had immunomodulator added and another stopped CT-P13 being in remission. Antibodies to Infliximab were seen in 15 of 39 patients (38.5%), of whom 8 were switched to an alternative biologic, 2 had dose escalation (10 mg/kg IFX),4 patients stopped IFX with no other intervention and 1 person continued treatment with low antibody titre of 6. Discussion Biosimilar IFX (CT-P13) was well tolerated. Clinical efficacy and loss of response rates with CT-P13 appears to be similar to IFX-O. This holds promise for a wider adoption of 'switching' to fulfil the purported aims of wider access to treatment at a lower cost.",FALSE,No comparison group detected,FALSE,Unknown,TRUE,"['clinical', 'safety', 'impact']",0.9
J515,2019,What evidence is available to support the development of a regional specialist neurorehabilitation outreach service,"Background The WHO recognises several specialist rehabilitation provision models; in-patient, outpatient and outreach. Intensive early neurorehabilitation is required after severe Acquired Brain Injury (ABI), usually necessitating in-patient care. In the UK, children receiving specialist neurorehabilitation often remain in-patients for long periods because of the lack of appropriate out-of-hospital provision. Aims To explore feasibility and funding implications of developing a regional specialist neurorehabilitation outreach service to facilitate earlier discharge. Methods Analysis of data on children receiving in-patient neurorehabilitation at a paediatric Regional Neuroscience Centre (RNSC), 2014-2018. Information concerning therapy provision was obtained from Trust Clinical Information System Suite (CISS). Patient dependency and rehabilitation complexity was assessed by Rehabilitation Complexity Scale-Extended (RCS-E), scored by multi-disciplinary team (MDT) at weekly meetings over 15 months. For modelling purposes, a specialist neurorehabilitation outreach tariff equating to 50% in-patient tariff was assumed. Data analysis was undertaken by linear programming model (XpressIveÃƒâ€šÃ‚Â©) and Discrete-Even Simulation (Simul8 Ãƒâ€šÃ‚Â©).Various eligibility criteria for outreach provision were modelled: 1) needing >=1 therapies<3 times/week; 2) Total RCS-E score <9,<11 or<13; 3) Therapy Dependency (TD) +Therapy Intensity (TI) components of RCS-E <5. Results 156 children received neurorehabilitation as in-patients over 4 years. Mean age=7.34 years (range 0.1-17). 66 (55%) were male, 53 (45%) female. 84% had ABI, others acquired spinal injury, acute polyneuropathy or somatisation disorders. 52% lived >40 miles from RNSC, 47%>60 min' drive away. 49% were inpatients 1-28 days; 34%, 29-84 days; 18, 85-168 days; 6,>168 days. Patients showed significant functional improvements between admission to neurorehabilitation and discharge (p<0.001). Modelling suggests 14 outreach centres, including RNSC, would be required to permit 78% patients to access specialist neurorehabilitation <30 mins drive from home; 10 centres would permit 92% to access neurorehabilitation <45 min' drive away; 8 centres would permit 96% to access neurorehabilitation <60 min' drive away. Calculations assuming outreach tariff=50% in-patient tariff, and various RCS data models, suggest annual cost savings ranging from 53,424-166,950; calculations based on CISS data, suggest average savings of 1 05 596 per year (range 98,500-113,526). Conclusion Modelling supports the feasibility and affordability of specialist neurorehabilitation outreach provision, although efficacy remains uncertain.",FALSE,No explicit comparator group identified,FALSE,Unknown,TRUE,"['cost', 'impact']",0.8
J521,2019,Pcv98 Pcsk9 Inhibitors: An Analysis of Current Uptake and Potential Opportunities in England,"Objectives: Cardiovascular disease (CVD) affects approximately 6 million people in England and costs the NHS an estimated 7 billion a year. A key risk factor for CVD is hypercholesterolaemia. PCSK9 inhibitors, such as alirocumab and evolocumab, are a treatment option for patients who, despite taking the maximum tolerated dose of statins, still have cholesterol higher than recommended levels. This study compares actual prescription of PCSK9 inhibitors with expected use and considers opportunities for improved access to these drugs. Method(s): An analysis of the initial uptake estimates from the NICE resource impact report for alirocumab and evolocumab and actual daily dose (ADD) prescribing data from the NICE innovation scorecard for the same drugs in 2018. The study included a review of the NICE technology appraisal guidance (TAG) for alirocumab (TA393) and evolocumab (TA394), and publications from 2016-2019 relating to uptake of, and guidance and initiatives associated with, PCSK9 inhibitors in England. Result(s): On publication of the TAG for alirocumab and evolocumab in 2016, NICE estimated that there would be 11,542 people receiving PCSK9 inhibitors by 2018. However, analysis of data from the NICE innovation scorecard for 2018 shows that 755,806 ADDs of alirocumab and evolocumab were actually prescribed. This is equivalent to approximately 2,069 people receiving treatment and indicates that uptake of PCSK9 inhibitors was 82% lower than expected in 2018. Conclusion(s): While there is considerable potential for PCSK9 inhibitors to alleviate some of the burden of CVD, prescription of these drugs is considerably lower than expected. Despite price reduction, the cost of PCSK9 inhibitors may remain the main barrier to access to these drugs. Further barriers could include a lack of clear guidance for clinicians, patient identification and, until recently, limited clinical trial data regarding CVD outcomes. New initiatives, such as the Accelerated Access Collaborative, may ultimately lead to improved access to PCSK9 inhibitors. Copyright Ãƒâ€šÃ‚Â© 2019",FALSE,No comparator group used,FALSE,Unknown,TRUE,"['cost', 'impact']",0.9
J532,2019,"'Forming, Storming, Norming and Performing' - Experiences in Clinical Policy (Specialised Commissioning)","Specialised Services provide people suffering from a variety of complex and rare conditions with a range of medical and surgical treatments that are directly commissioned by NHS England. The National Clinical Policy Team was a new team set up within Specialised Commissioning in August 2018. Our new team was mandated with improving the efficiency of the policy development, whilst in parallel developing new policies and contributing to the development of our team and its establishment within the wider department. This was a novel opportunity for a junior doctor undertaking an out-of-programme experience to develop leadership and management skills early on in their career. Alongside managing a range of policies across various programmes of care, the role required coordination of policy working groups, chairing teleconferences, attending meetings and contributing to the commissioning of evidence reviews and the writing of policy and commissioning documents. Through becoming increasingly conscious of behaviour and its impact on others to managing conflict and politics between various stakeholders to drive the production of higher quality and more robust work, this opportunity provided a springboard for personal development away from direct clinical contract. Two-way communication, a critical aspect of the doctor-patient relationship, is also required at a system-based level to achieve better patient care. Such experiences should be welcomed amongst the junior doctor community and help contribute to the development of future medical leaders.",FALSE,No comparator or primary outcomes detected,FALSE,Unknown,FALSE,[],0.9
J533,2019,"EFFICHRONIC study protocol: A non-controlled, multicentre European prospective study to measure the efficiency of a chronic disease self-management programme in socioeconomically vulnerable populations","Introduction More than 70% of world mortality is due to chronic conditions. Furthermore, it has been proven that social determinants have an enormous impact on both health-related behaviour and on the received attention from healthcare services. These determinants cause health inequalities. The objective of this study is to reduce the burden of chronic diseases in five European regions, hereby focusing on vulnerable populations, and to increase the sustainability of health systems by implementing a chronic disease self-management programme (CDSMP). Methods and analysis 2000 people with chronic conditions or informal caregivers belonging to vulnerable populations, will be enrolled in the CDSMP in Spain, Italy, the UK, France and the Netherlands. Inclusion of patients will be based on geographical, socioeconomic and clinical stratification processes. The programme will be evaluated in terms of self-efficacy, quality of life and cost-effectiveness using a combination of validated questionnaires at baseline and 6 months from baseline. Ethics and dissemination This study will follow the directives of the Helsinki Declaration and will adhere to the European Union General Data Protection Regulation. The project's activities, progress and outcomes will be disseminated via promotional materials, the use of mass media, online activities, presentations at events and scientific publications. Copyright Ãƒâ€šÃ‚Â© 2019 Author(s).",FALSE,No comparison group detected,FALSE,Unknown,TRUE,"['cost', 'qaly']",0.9
J534,2019,Interventions to manage use of the emergency and urgent care system by people from vulnerable groups: a mapping review,"<b>BACKGROUND</b>: The NHS currently faces increasing demands on accident and emergency departments. Concern has been expressed regarding whether the needs of vulnerable groups are being handled appropriately or whether alternative methods of service delivery may provide more appropriate emergency and urgent care services for particular groups.
<b>OBJECTIVE</b>: Our objective was to identify what interventions exist to manage use of the emergency and urgent care system by people from a prespecified list of vulnerable groups. We aimed to describe the characteristics of these interventions and examine service delivery outcomes (for patients and the health service) resulting from these interventions.
<b>REVIEW METHODS</b>: We conducted an initial mapping review to assess the quantity and nature of the published research evidence relating to seven vulnerable groups (socioeconomically deprived people and families, migrants, ethnic minority groups, the long-term unemployed/inactive, people with unstable housing situations, people living in rural/isolated areas and people with substance abuse disorders). Databases, including MEDLINE and the Cumulative Index to Nursing and Allied Health Literature, and other sources were searched between 2008 and 2018. Quantitative and qualitative systematic reviews and primary studies of any design were eligible for inclusion. In addition, we searched for UK interventions and initiatives by examining press reports, commissioning plans and casebooks of 'good practice'. We carried out a detailed intervention analysis, using an adapted version of the TIDieR (Template for Intervention Description and Replication) framework for describing interventions, and an analysis of current NHS practice initiatives.
<b>RESULTS</b>: We identified nine different types of interventions: care navigators [three studies - moderate GRADE (Grading of Recommendations, Assessment, Development and Evaluations)], care planning (three studies - high), case finding (five studies - moderate), case management (four studies - high), front of accident and emergency general practice/front-door streaming model (one study - low), migrant support programme (one study - low), outreach services and teams (two studies - moderate), rapid access doctor/paramedic/urgent visiting services (one study - low) and urgent care clinics (one systematic review - moderate). Few interventions had been targeted at vulnerable populations; instead, they represented general population interventions or were targeted at frequent attenders (who may or may not be from vulnerable groups). Interventions supported by robust evidence (care navigators, care planning, case finding, case management, outreach services and teams, and urgent care clinics) demonstrated an effect on the general population, rather than specific population effects. Many programmes mixed intervention components (e.g. case finding, case management and care navigators), making it difficult to isolate the effect of any single component. Promising UK initiatives (front of accident and emergency general practice/front-door streaming model, migrant support programmes and rapid access doctor/paramedic/urgent visiting services) lacked rigorous evaluation. Evaluation should therefore focus on the clinical effectiveness and cost-effectiveness of these initiatives.
<b>CONCLUSIONS</b>: The review identified a limited number of intervention types that may be useful in addressing the needs of specific vulnerable populations, with little evidence specifically relating to these groups. The evidence highlights that vulnerable populations encompass different subgroups with potentially differing needs, and also that interventions seem particularly context sensitive. This indicates a need for a greater understanding of potential drivers for varying groups in specific localities.
<b>LIMITATIONS</b>: Resources did not allow exhaustive identification of all UK initiatives; the examples cited are indicative.
<b>FUTURE WORK</b>: Research is required to examine how specific vulnerable populations differentially benefit from specific types of alternative service provision. Further exploration, using primary mixed-methods data and potentially realist evaluation, is required to explore what works for whom under what circumstances. Rigorous evaluation of UK initiatives is required, including a specific need for economic evaluations and for studies that incorporate effects on the wider emergency and urgent care system.
<b>FUNDING</b>: The National Institute for Health Research Health Services and Delivery Research programme.",FALSE,No explicit comparator group identified,FALSE,Unknown,TRUE,"['impact', 'clinical']",0.7
J536,2019,Context-Specific Economic Evaluation for Molecular Pathology Tests: An Application in Colorectal Cancer in the West of Scotland,"Objectives The cost-effectiveness of molecular pathology testing is highly context dependent. The field is fast-moving, and national health technology assessment may not be relevant or timely for local decision makers. This study illustrates a method of context-specific economic evaluation that can be carried out in a limited timescale without extensive resources.Methods We established a multi-disciplinary group including an oncologist, pathologists and a health economist. We set out diagnostic and treatment pathways and costs using registry data, health technology assessments, guidelines, audit data, and estimates from the group. Sensitivity analysis varied input parameters across plausible ranges. The evaluation setting was the West of Scotland and UK NHS perspective was adopted. The evaluation was assessed against the AdHopHTA checklist for hospital-based health technology assessment.Results A context-specific economic evaluation could be carried out on a timely basis using limited resources. The evaluation met all relevant criteria in the AdHopHTA checklist. Health outcomes were expected to be at least equal to the current strategy. Annual cost savings of 637,000 were estimated resulting primarily from a reduction in the proportion of patients receiving intravenous infusional chemotherapy regimens. The result was not sensitive to any parameter. The data driving the main cost saving came from a small clinical audit. We recommended this finding was confirmed in a larger population.Conclusions The method could be used to evaluate testing changes elsewhere. The results of the case study may be transferable to other jurisdictions where the organization of cancer services is fragmented. Copyright Ãƒâ€šÃ‚Â© 2019 Cambridge University Press.",FALSE,No explicit comparator group identified,FALSE,Unknown,TRUE,['cost'],0.8
J544,2019,PRIMEtime CE: a multistate life table model for estimating the cost-effectiveness of interventions affecting diet and physical activity,"BACKGROUND: Non-communicable diseases are the leading cause of death in England, and poor diet and physical inactivity are two of the principle behavioural risk factors. In the context of increasingly constrained financial resources, decision makers in England need to be able to compare the potential costs and health outcomes of different public health policies aimed at improving these risk factors in order to know where to invest so that they can maximise population health. This paper describes PRIMEtime CE, a multistate life table cost-effectiveness model that can directly compare interventions affecting multiple disease outcomes. METHOD(S): The multistate life table model, PRIMEtime Cost Effectiveness (PRIMEtime CE), is developed from the Preventable Risk Integrated ModEl (PRIME) and the PRIMEtime model. PRIMEtime CE uses routinely available data to estimate how changing diet and physical activity in England affects morbidity and mortality from heart disease, stroke, diabetes, liver disease, and cancers either directly or via raised blood pressure, cholesterol, and body weight. RESULT(S): Model outcomes are change in quality adjusted life years, and change in English National Health Service and social care costs. CONCLUSION(S): This paper describes PRIMEtime CE and highlights its main strengths and limitations. The model can be used to compare any number of public policies affecting diet and physical activity, allowing decision makers to understand how they can maximise population health with limited financial resources.",FALSE,No explicit comparator group mentioned,FALSE,Unknown,TRUE,"['qaly', 'cost']",0.8
