id,Year,Title,Abstract,include_stage3,reason_stage3,detected_context,confidence_stage3
J502,2019,Pdb16 Assessment of Cost-Effectiveness of a 0.2 Mcg/Day Fluocinolone Acetonide (Fac) Implant in Patients with Chronic Diabetic Macular Oedema (Dmo) in an Eye with Cataract,"Objectives: The fluocinolone acetonide 0.2 mug/day implant (FAc) is effective in improving visual acuity in patients with chronic diabetic macular oedema (cDMO) but is associated with worsening of cataract. A model previously suggested that FAc is cost-effective in patients with cDMO, who have undergone cataract surgery or not. The aim of this study was to update this model and assess the cost-effectiveness of FAc in the subgroup of patients with symptomatic cataract. Method(s): The existing Markov model was designed to assess costs and QALYs over lifetime in patients treated with FAc implant, compared to usual care (UC), consisting of laser photocoagulation and anti-VEGFs from the UK NHS perspective. Unit costs and health state utility values (HSUVs) were updated. The FAc price was NHS list price. HSUVs were obtained from the FAME trial using the VFQ-UI utility index. Best-Corrected Visual Acuity (BCVA) with UC was supposed to be stable. Additional scenarios were considered, with BCVA decreasing over time in UC arm, according to real-world data, and with possibility of administering FAc after cataract surgery in the UC arm. Result(s): New HSUVs ranged from 0.48 for blind patients to 0.91 for patients with perfect vision in both eyes. The FAc strategy was more expensive compared to usual care, by 3,445 per patients over lifetime, and produced more QALYs (+0.247). The incremental cost-effectiveness ratio (ICER) was estimated at 13,932 per QALY gained. The ICER was sensitive to the baseline visual acuity, patients' age and the probability of cataract surgery. The probability of FAc being cost-effective was 66.1% at a threshold of 20,000 per QALY gained. Scenario analyses showed that the efficacy of UC had a strong influence on results, and ICER decreased to 1,686 per QALY gained when BCVA decreased under UC Conclusion(s): The FAc implant is a cost-effective treatment for cDMO in patients with symptomatic cataract. Copyright Ã‚Â© 2019",TRUE,Study conducted from UK NHS perspective.,NHS,0.9
J504,2019,Pmh28 Assessing the Life-Cycle Value Added of Second-Generation Antipsychotics in Sweden and the Uk: The Case of Risperidone,"To estimate the life-cycle value of risperidone - representative of Second-Generation Antipsychotics- relative to First Generation Antipsychotics to balance the view that cost per Quality-Adjusted Life Year (QALY) at launch are enough to guide access decisions. Study aims to drive the discussion on access and price, through recognition of the dynamic nature of value added by pharmaceutical innovation over the long-run. We estimated the number of patients with schizophrenia treated with risperidone in Sweden and the UK (1994-2017). We collected cost-effectiveness data from the literature of risperidone and haloperidol - representative of First-Generation Antipsychotics. We modelled the life-cycle uptake of risperidone to estimate the life-cycle incremental cost, incremental QALYs and Net monetary Benefit (NMB). We also assessed the life-cycle distribution of the consumer (the payer) and the producer (innovator) surpluses. For the UK, the producer surplus represents around 28% of the total surplus before patent expiration and around 5% after patent expiration. Life-cycle NMB for the health system is estimated at 1,116m. During the life-cycle, the NMB significantly increased in response to two events: (i) the launch of Risperidone Long-Acting Injectable (RLAI); and (ii) generic entry. The ICER was negative (dominant) for the whole period. For Sweden, the producer surplus represents around 6% of the total surplus before patent expiration and around 1% after generic competition. Life-cycle NMB is estimated at 803m, and both NMB and ICER follow the same pattern as in the UK. Analysis shows that health systems appropriated most of the life-cycle value (surplus) generated. This suggests that, considering the entire life-cycle, the value added by SGAs to the system is higher than the value estimated using cost-effectiveness analysis at launch. Pricing and reimbursement decisions should take into account the dynamic nature of pharmaceutical markets and the value added by innovative medicines over the long-run. Copyright Ã‚Â© 2019",TRUE,Study involves NHS health system in the UK.,NHS,0.9
J508,2019,Adalimumab for non-infectious uveitis: Is it cost-effective?,"Background/Aims: Uveitis is inflammation inside the eye. Our objective was to assess the cost-effectiveness of adalimumab compared with current practice (immunosuppressants and systemic corticosteroids) in patients with non-infectious intermediate, posterior or panuveitis and to identify areas for future research. Method(s): A Markov model was built to estimate costs and benefits of the interventions. Systematic reviews were performed to identify the available relevant clinical and cost-effectiveness evidence. Data collected in two key randomised controlled trials (VISUAL I and VISUAL II) were used to estimate the interventions' effectiveness compared with the trials' comparator arms (placebo plus limited current practice (LCP)). The analysis was performed from the National Health Service and Personal Social Services perspective. Costs were calculated based on standard UK sources. Result(s): The estimated incremental cost-effectiveness ratios (ICERs) of adalimumab versus LCP for the base case are 92 600 and 318 075 per quality-adjusted life year (QALY) gained for active and inactive uveitis, respectively. In sensitivity analyses, the ICER varied from 15 579 to 120 653 and 35 642 to 800 775 per QALY for active and inactive uveitis. Conclusion(s): The estimated ICERs of adalimumab versus LCP are above generally accepted thresholds for cost-effectiveness in the UK. Adalimumab may be more cost-effective in patients with active uveitis at greater risk of blindness. However, there is an unmet need for additional primary data to provide more reliable estimates in several important areas, including effectiveness of adalimumab versus current practice (instead of LCP), incidence of long-term blindness, adalimumab effectiveness in avoiding blindness, and rates and time to remission while on adalimumab. Copyright Ã‚Â© 2019 Author(s).",TRUE,Study conducted from NHS perspective.,NHS,0.9
J509,2019,"Burden of varicella complications in secondary care, England, 2004 to 2017","Background: Strategies to control varicella vary across Europe. Evidence from established programmes has prompted the United Kingdom to re-evaluate the need for universal vaccination. The burden of complicated varicella is a key parameter in the cost-effectiveness analysis. Aim(s): Our objective was to estimate the burden of complicated varicella in England. Method(s): This electronic health record surveillance study used data from all NHS hospitals in England to identify varicella admissions between 2004 and 2017. The incidence of pre-defined complications of varicella was estimated using ICD-10 codes. Inpatient costs were calculated based on the payment rules for providers of NHS services. Result(s): There were 61,024 admissions with varicella between 2004 and 2017 and 38.1% had a recognised varicella complication. Incidence of hospitalisation increased by 25% and the proportion with complicated varicella by 24% from 2004/05 to 2016/17. The most common complications were bacterial skin infections (11.25%), pneumonia (4.82%), febrile convulsions (3.39%) and encephalitis (2.44%). Complication rates were higher in older age groups and the type of complications more severe. Length of stay for complicated varicella was 3.1 times longer than for uncomplicated varicella and inpatient costs were 72% greater. Conclusion(s): Complicated varicella has a substantial health and economic burden. These data together with data on impact on quality of life are important in informing the cost-effectiveness analysis of universal varicella vaccination. Copyright Ã‚Â© 2019 European Centre for Disease Prevention and Control (ECDC). All rights reserved.",TRUE,Study uses data from NHS hospitals in England.,NHS,1
J511,2019,Switching from originator infliximab to CT-P13: Single-centre experience from the UK,"Background: The infliximab biosimilar (CT-P13) received market authorisation for inflammatory bowel disease in late 2016 with the aim of reducing cost and increasing access to therapy. The prospect of 'switching' patients from originator to CT-P13 has concerned clinicians. #8232;We present an experience of 'switching' from originator infliximab (IFX-O) to CT-P13 and present efficacy, safety, and immunogenicity data from our cohort. Method(s): We performed a retrospective review of patients switched from IFX-O to CT-P13. Disease demographics, clinical course and outcomes were analysed from electronic case records at a median of 8 months and at last follow-up at 13 months. Result(s): Ninety-six patients (35 females) were 'switched' from IFX-O to CT-P13. Of these 44 had Ulcerative colitis (UC) and 52 had Crohn's disease (CD) with a mean age at diagnosis of 34.7 years (median = 33, IQR = 24.5). Montreal phenotype for UC was E1 = 1, E2 = 16, E3 = 27 and for CD (L1 = 10, L2 = 12 , L3 = 29, L4 = 1) and (B1 = 27, #8232;B2 = 14 , B3 = 11), 9 patients had perianal disease. Mean duration of IFX-O treatment was 49. 8 months (median = 44, IQR = 52) and on CT-P13 11.5 months (median 13). At switch, 76 patients had a normal CRP (UC = 33, CD = 43), and in 15 patients it was elevated (UC = 10, CD = 5). At 8 months, 80 patients remained in biochemical remission (UC = 35, CD = 45 ) and in 14 patients (UC = 8, CD = 6 ) CRP increased. Seventy-two patients (UC = 34, CD = 38 ) were in clinical remission (pMayo < 2 and HBI < 5). Of 51 patients (UC = 21, CD = 30) undergoing endoscopic assessment, 31 achieved mucosal healing (UC = 13, CD = 18). At 13 months, 69 patients remained on CT-P13. Twenty-seven discontinued the drug due to immunogenicity (n = 10), loss of response (n = 5), surgery (n = 5), remission (n = 5) , side effects (n = 2 ), and 1 patient died of hospital acquired pneumonia. 39 out of 96 patients had therapeutic drug levels checked within 13 months of switch, of whom 27 had sub-therapeutic levels (below 4 mug/ml). Antibodies to Infliximab were seen in 15 of 39 patients (38.5%), of whom 8 were switched to an alternative biologic, 2 had dose escalation (10 mg/kg IFX), 4 patients stopped IFX with no other intervention, and 1 person continued treatment at same dose with low antibody titre of 6. Conclusion(s): Biosimilar IFX (CT-P13) was well tolerated. Clinical efficacy and loss of response rates with CT-P13 appears to be similar to IFX-O. This holds promise for a wider adoption of 'switching' to fulfil the purported aims of wider access to treatment at a lower cost.",TRUE,Study conducted in a UK hospital setting.,NHS,0.9
J512,2019,Switching from originator infliximab to CT-P13: A UK single centre experience,"Introduction and Aims The infliximab biosimilar (CT-P13) received market authorization for inflammatory bowel disease in late 2016 with the aim of reducing cost and increasing access to therapy. The prospect of 'switching' patients from originator to CT-P13 has concerned clinicians.We present an experience of 'switching' from originator infliximab (IFX-O) to CT-P13 and present efficacy, safety and immunogenicity data from our cohort. Methods We performed a retrospective review of patients switched from IFX-O to CT-P13 at our center. Disease demographics, clinical course and outcomes were analysed from electronic case records at 8 months and at last follow-up at 13 months. Results Ninety-six patients (35 female) were 'switched' from IFX-O to CT-P13. Of these 44 had Ulcerative colitis (UC) and 52 had Crohn's disease (CD) with a mean age at diagnosis of 34.7 years (median= 33, IQR = 24.5). Montreal phenotype for UC was Proctitis( E1) = 1, Left sided(E2) = 16,Pancolitis ( E3) = 27 and for CD (L1 = 10,L2 = 12, L3 = 29, L4 = 1) and ( B1 = 27,B2 = 14, B3 = 11), 9 patients had perianal disease. Mean duration of IFX-O treatment before switching was 49.8 months (median = 44, IQR = 52) and on CT-P13 11.5 months (median 13). At switch, 76 patients had a normal CRP (UC = 33, CD = 43), and in 15 patients it was elevated (UC= 10, CD= 5). At 8 months, 72 patients (UC = 34, CD = 38) were in clinical remission (pMayo < 2 and HBI < 5) and 80 patients remained in biochemical remission (UC= 35,CD= 45). In 14 patients (UC= 8,CD= 6 ) CRP increased. Of 51 patients (UC= 21, CD= 30) undergoing endoscopic assessment, 31 achieved mucosal healing (UC =13, CD= 18). At 13 months 69 patients remained on CT-P13. 28% discontinued the drug due to immunogenicity(n=10), loss of response(n=5), surgery(n=5), remission (n=5), side effects (n=2) and 1 patient died of hospital acquired pneumonia. 39 out of 96 patients had therapeutic drug levels checked within a median of 13 months from switch. 27 had sub-therapeutic levels (below 4ug/ml ),11 of which were switched to another biologic, 5 referred for surgery, 4 had dose escalated to 10 mg/kg, 5 continued CT-P13( 4 with no antibodies seen and 1 with antibodies of 127),one had immunomodulator added and another stopped CT-P13 being in remission. Antibodies to Infliximab were seen in 15 of 39 patients (38.5%), of whom 8 were switched to an alternative biologic, 2 had dose escalation (10 mg/kg IFX),4 patients stopped IFX with no other intervention and 1 person continued treatment with low antibody titre of 6. Discussion Biosimilar IFX (CT-P13) was well tolerated. Clinical efficacy and loss of response rates with CT-P13 appears to be similar to IFX-O. This holds promise for a wider adoption of 'switching' to fulfil the purported aims of wider access to treatment at a lower cost.",TRUE,"Study conducted in a UK healthcare setting, likely NHS.",NHS,0.9
J514,2019,Ã¢â‚¬â€¹Primary closure versus delayed or no closure for traumatic wounds due to mammalian bite,"- Background Mammalian bites are a common presentation in emergency and primary healthcare facilities across the world. The World Health Organization recommends postponing the suturing of a bite wound but this has not been evaluated through a systematic review. Objectives To assess the effects of primary closure compared with delayed closure or no closure for mammalian bite wounds. Search methods In July 2019 we searched the Cochrane Wounds Specialised Register; the Cochrane Central Register of Controlled Trials (CENTRAL); Ovid MEDLINE (including InÃ¢â‚¬ÂProcess & Other NonÃ¢â‚¬ÂIndexed Citations); Ovid Embase and EBSCO CINAHL Plus. We also searched clinical trials registries for ongoing and unpublished studies, and scanned reference lists of relevant included studies as well as reviews, metaÃ¢â‚¬Âanalyses and health technology reports to identify additional studies. There were no restrictions with respect to language, date of publication or study setting. Selection criteria We included randomised controlled trials which compared primary closure with delayed or no closure for traumatic wounds due to mammalian bite. Data collection and analysis Two review authors independently screened titles, abstracts and fullÃ¢â‚¬Âtext publications, applied the inclusion criteria, and extracted data. We pooled data using a randomÃ¢â‚¬Âeffects model, as appropriate. We used the Cochrane 'Risk of bias' tool and assessed the certainty of the evidence using the GRADE approach. Main results We found three trials (878 participants) that compared primary closure with no closure for dog bites and one trial (120 participants) that compared primary closure with delayed closure. No other mammalian bite studies were identified. The trials were from the UK (one trial), Greece (one trial) and China (two trials). Overall, participants from both sexes and all age groups were represented. We are uncertain whether primary closure improves the proportion of wounds which are infectionÃ¢â‚¬Âfree compared with no closure, as the certainty of evidence for this outcome was judged to be very low (risk ratio (RR) 1.01, 95% confidence interval (CI) 0.97 to 1.05; 2 studies, 782 participants; I 2 = 0%). We downgraded the evidence by one level for high risk of bias and two levels for imprecision. There is no clinically important difference in cosmesis (acceptable physical/cosmetic appearance) of dog bite wounds when primary closure is compared with no closure (mean difference (MD) Ã¢â‚¬Â1.31, 95% CI Ã¢â‚¬Â2.03 to Ã¢â‚¬Â0.59; 1 study, 182 participants). The certainty of evidence for this outcome was judged to be moderate (we downgraded our assessment by one level for imprecision). We are uncertain whether primary closure improves the proportion of dog bite wounds that are infectionÃ¢â‚¬Âfree compared with delayed closure, as the evidence for this outcome was judged to be very low (RR 0.98, 95% CI 0.90 to 1.07; 1 study, 120 participants; I 2 = 0%). We downgraded the evidence by one level for high risk of bias and two levels for imprecision. None of the four trials reported any adverse outcomes such as death or rabies but they were, in any case, unlikely to have been large enough to have satisfactory power to provide precise estimates for these. Important outcomes like time to complete wound healing, proportion of wounds healed, and length of hospital stay were not evaluated. Authors' conclusions All the studies we identified concerned dog bites. There is no highÃ¢â‚¬Âcertainty evidence to support or refute existing recommendations concerning primary closure for dog bites. The potential benefits and harms of primary closure compared with delayed or no closure for mammalian bites remain uncertain and more robust trials are needed. Plain language summary Primary closure (immediate stitches) versus delayed closure (delayed stitches) or no closure (no stitches) for traumatic wounds due to mammalian bite What is the aim of this review? The aim of this review was to find out whether animal bite wounds heal better when they are closed with stitches straight away (primary closure), or if th wounds are left open to heal for a short time before closure (delayed closure) or not stitched at all (no closure). We wanted to find out which wounds healed fastest, and if the method of closure affected the likelihood of wound infection, the appearance of the scar, the length of time patients were in hospital, and more serious side effects such as death. To answer this question, we collected and analysed all relevant studies (randomised controlled trials). Randomised controlled trials are medical studies where people are chosen at random to receive different treatments. This type of trial provides the most reliable health evidence. We found four relevant studies. Key messages All the studies we found concerned dog bites. In terms of wound infection, we cannot be certain whether it is better to close dog bite wounds straight away, or wait a while before stitching, or leave them with no stitches. There was little difference in the appearance of the bite scar. Most of the evidence we found was of low certainty due to the size of the studies and the methods used. What was studied in the review? Mammalian bite wounds from animals such as dogs, cats and monkeys are a common problem throughout the world. In developed countries, many bite wounds are caused by domestic pets. In lowerÃ¢â‚¬Âincome countries bites can also be caused by wild animals. Dogs are generally responsible for the majority of bites. Bite wounds are at high risk of infection as microbes are transmitted into the wound from the animal's mouth. In lowerÃ¢â‚¬Âincome countries these wound infections can lead to serious complications and in some cases death. The first priorities when treating an animal bite are to stop the flow of blood from the wound, provide pain relief, and prevent infection. This can include appropriate vaccination against tetanus and rabies. It is often recommended that bite wounds are not stitched straight away if infection is suspected, as closing an infected wound could delay healing and be potentially fatal. What are the main results of the review? In July 2019 we searched for randomised controlled trials comparing primary closure versus delayed or no closure for mammalian bite wounds. We found four relevant studies on dog bites. They were carried out in the UK, Greece and China. No other mammalian bite studies were identified. Three of the studies we included compared primary closure with sutures (immediate stitches) with no closure for dog bite wounds. One study compared primary closure with delayed closure for dog bites. The people in the studies were followed, where stated, from 14 days to three months. Overall, participants from both sexes and all age groups were represented. We are uncertain whether primary closure of dog bite wounds increases the proportion of wounds which are infectionÃ¢â‚¬Âfree compared with no closure (very lowÃ¢â‚¬Âcertainty evidence from two studies including a total of 782 people) and compared with delayed closure (very lowÃ¢â‚¬Âcertainty evidence from one study with a total of 120 people). There is little difference in the appearance of dog bite wounds when primary closure is compared with no closure (moderateÃ¢â‚¬Âcertainty evidence from one study with a total of 182 participants). None of the included studies reported proportion of wounds healed, the time to complete wound healing, length of hospital stay or adverse events. The number of people in the included studies was small, and the people who assessed the outcomes were aware of which treatment had been given. Both of these are reasons why the results are uncertain. How up to date is this review? We searched for studies that had been published up to July 2019.",TRUE,"Study involves primary healthcare facilities, likely including NHS settings.",Community Health,0.9
J515,2019,What evidence is available to support the development of a regional specialist neurorehabilitation outreach service,"Background The WHO recognises several specialist rehabilitation provision models; in-patient, outpatient and outreach. Intensive early neurorehabilitation is required after severe Acquired Brain Injury (ABI), usually necessitating in-patient care. In the UK, children receiving specialist neurorehabilitation often remain in-patients for long periods because of the lack of appropriate out-of-hospital provision. Aims To explore feasibility and funding implications of developing a regional specialist neurorehabilitation outreach service to facilitate earlier discharge. Methods Analysis of data on children receiving in-patient neurorehabilitation at a paediatric Regional Neuroscience Centre (RNSC), 2014-2018. Information concerning therapy provision was obtained from Trust Clinical Information System Suite (CISS). Patient dependency and rehabilitation complexity was assessed by Rehabilitation Complexity Scale-Extended (RCS-E), scored by multi-disciplinary team (MDT) at weekly meetings over 15 months. For modelling purposes, a specialist neurorehabilitation outreach tariff equating to 50% in-patient tariff was assumed. Data analysis was undertaken by linear programming model (XpressIveÃ‚Â©) and Discrete-Even Simulation (Simul8 Ã‚Â©).Various eligibility criteria for outreach provision were modelled: 1) needing >=1 therapies<3 times/week; 2) Total RCS-E score <9,<11 or<13; 3) Therapy Dependency (TD) +Therapy Intensity (TI) components of RCS-E <5. Results 156 children received neurorehabilitation as in-patients over 4 years. Mean age=7.34 years (range 0.1-17). 66 (55%) were male, 53 (45%) female. 84% had ABI, others acquired spinal injury, acute polyneuropathy or somatisation disorders. 52% lived >40 miles from RNSC, 47%>60 min' drive away. 49% were inpatients 1-28 days; 34%, 29-84 days; 18, 85-168 days; 6,>168 days. Patients showed significant functional improvements between admission to neurorehabilitation and discharge (p<0.001). Modelling suggests 14 outreach centres, including RNSC, would be required to permit 78% patients to access specialist neurorehabilitation <30 mins drive from home; 10 centres would permit 92% to access neurorehabilitation <45 min' drive away; 8 centres would permit 96% to access neurorehabilitation <60 min' drive away. Calculations assuming outreach tariff=50% in-patient tariff, and various RCS data models, suggest annual cost savings ranging from 53,424-166,950; calculations based on CISS data, suggest average savings of 1 05 596 per year (range 98,500-113,526). Conclusion Modelling supports the feasibility and affordability of specialist neurorehabilitation outreach provision, although efficacy remains uncertain.",TRUE,Study involves NHS settings and community health outreach.,NHS,0.9
J520,2019,The budget impact of early dose optimisation with golimumab in ulcerative colitis in the UK,"Background: The PURSUIT study found that ulcerative colitis patients who were non-responders (based on full Mayo score) to subcutaneous golimumab treatment at Week 6 may benefit from receiving a dose of 100 mg golimumab from Week 6 onwards, with 28% of non-responders at Week 6 becoming responders by Week 14. The aim of this study was to assess the budget implications of optimising a patient's dose at Week 6 compared with other first-line therapies as per current clinical practice Methods: A decision tree model was designed to follow a patient's response to first-line treatment and to track a patient's progression through subsequent line of therapy. The budget impact model only considered drug costs from the perspective of the UK NHS. In total three lines of therapy were covered by the decision tree over a 1 year time horizon. Patients could have first-line treatment with one of the three treatment strategies; golimumab (current treatment practice), golimumab (dose optimisation based on the PURSUIT trial) and adalimumab. Within each of the comparator treatments dose escalation was considered, based on the median time to escalation and proportion of patients receiving dose escalation. Subsequent therapy for golimumab patients was adalimumab and patients who received adalimumab as a first-line therapy received golimumab as a second-line therapy. Response rates, time to loss of response and treatment costs were taken from published data sources. The cost of golimumab was equal between 50 mg pack and 100 mg pack. The model used assumption for second-line response rates; this has been tested in sensitivity analysis. Result(s): The use of dose optimisation for golimumab does not increase expenditure of drug costs compared with golimumab (single dose) with a cost saving of 42 per patient per year. When comparing dose optimisation for golimumab to adalimumab, golimumab was cost saving over 1 year of treatment with cost saving of 2138 per patient. The number of patients in a response health state was similar across all three treatments (47.7%, 47.6% and 45% for golimumab (single dose), golimumab (dose optimisation) and adalimumab, respectively. Conclusion(s): The implementation of dose optimisation at Week 6 for golimumab was cost saving compared with golimumab (current treatment practice) or adalimumab. The analysis highlights the need for immediate implementation of the updated GLM label in clinical practice for potentially more cost savings.",TRUE,Study considers drug costs from the perspective of the UK NHS.,NHS,0.9
J521,2019,Pcv98 Pcsk9 Inhibitors: An Analysis of Current Uptake and Potential Opportunities in England,"Objectives: Cardiovascular disease (CVD) affects approximately 6 million people in England and costs the NHS an estimated 7 billion a year. A key risk factor for CVD is hypercholesterolaemia. PCSK9 inhibitors, such as alirocumab and evolocumab, are a treatment option for patients who, despite taking the maximum tolerated dose of statins, still have cholesterol higher than recommended levels. This study compares actual prescription of PCSK9 inhibitors with expected use and considers opportunities for improved access to these drugs. Method(s): An analysis of the initial uptake estimates from the NICE resource impact report for alirocumab and evolocumab and actual daily dose (ADD) prescribing data from the NICE innovation scorecard for the same drugs in 2018. The study included a review of the NICE technology appraisal guidance (TAG) for alirocumab (TA393) and evolocumab (TA394), and publications from 2016-2019 relating to uptake of, and guidance and initiatives associated with, PCSK9 inhibitors in England. Result(s): On publication of the TAG for alirocumab and evolocumab in 2016, NICE estimated that there would be 11,542 people receiving PCSK9 inhibitors by 2018. However, analysis of data from the NICE innovation scorecard for 2018 shows that 755,806 ADDs of alirocumab and evolocumab were actually prescribed. This is equivalent to approximately 2,069 people receiving treatment and indicates that uptake of PCSK9 inhibitors was 82% lower than expected in 2018. Conclusion(s): While there is considerable potential for PCSK9 inhibitors to alleviate some of the burden of CVD, prescription of these drugs is considerably lower than expected. Despite price reduction, the cost of PCSK9 inhibitors may remain the main barrier to access to these drugs. Further barriers could include a lack of clear guidance for clinicians, patient identification and, until recently, limited clinical trial data regarding CVD outcomes. New initiatives, such as the Accelerated Access Collaborative, may ultimately lead to improved access to PCSK9 inhibitors. Copyright Ã‚Â© 2019",TRUE,Study involves NHS prescription data analysis.,NHS,0.9
