id,Year,Title,Abstract,include_stage1,reason_stage1,detected_language,publication_year,confidence_stage1,
J4243,2023,The economic challenges of treating uncomplicated hypertension in sub-Saharan Africa - Identifying major cost drivers and possible solutions: A systematic review,"Einleitung Hypertension is a rising health threat in sub-Saharan Africa (SSA) and so far, the research on the economic consequences is limited. The aim of our review was to gather Hypertension treatment costs from different perspectives in SSA and identify possible opportunities to reduce the economic burden. Methoden A systematic literature review was performed searching in 6 databases (PubMed, Web of Science, Google Scholar, CINAHL, ISPOR, EconLit) for peer reviewed articles published in English from inception to Jan. 2022. We included studies assessing direct or indirect costs of Hypertension treatment across SSA. The search and quality assessment were independently executed by two researchers. All results were converted to 2021 US Dollar. Resultate Of 3999 the initial articles, 33 were included in the review. Not all SSA countries were represented and only 25 % of the countries provided data on the economic burden of Hypertension. Economic results varied according to their perspective and country. Cost on medications represented the majority with a range from 1.70$ to 97.06$ from a patient and 0.09$ to 193.55$ from a provider perspective per patient per month. Up to 72 % of the patients lost more than 10 % of their annual income to Hypertension care. Schlussfolgerung Health systems and patients experience a great financial burden due to hypertension care. While the costs differed according to measuring and financing methods, we identified medication as a major cost factor. Reducing medication costs and supporting patients through subsidies, use of generics or other special interventions should be considered.",FALSE,"Abstract primarily in German, not English",Not English,2023,0.9,
J5644,2024,Physiotherapy for rare hereditary NMDs- an open and free e-learning course for physiotherapists. Results after 18 months online at sjelden.no,"Physiotherapy is an important modality for patients with neuromuscular disorders, as individually targeted physiotherapy approaches may enhance functions in daily life, and thereby affect quality of life. In Norway, there is scarce knowledge of physiotherapy for neuromuscular patients among physiotherapists (PTs). The PTs at the National Neuromuscular Centre, Norway (NMK), saw the need for the development of free and easily attainable learning resources to empower PTs at hospitals and in communities in their clinical reasoning process. A service development project was conducted, resulting in an e-learning course published at the Norwegian learning platform sjelden.no. The e-learning course was developed in close collaboration with sjelden.no, a learning platform for rare diseases funded by Norwegian National Advisory Unit on Rare Disorders (NKSD). The project period ran from 2018-2022. The course is presented in written and spoken Norwegian and consists of five modules. 1) Introduction 2) Human movement- from healthy to muscle disease 3) Examples of movement analysis of patients 4) Intervention examples 5) Course test with 15 multiple choice questions. The course was published in Sep.2022. Information and advertisement has been provided from NMK at national and international conferences, on NMK's SoMe-platforms and website, and at clinical courses for PTs in Norway. From September 2022-March 2024, the e-learning course has had 2209 users and 3772 views based on statistics from Google Analytics. This is the 3rd most visited learning resource at sjelden.no. The introductory video has 400 full-length finishes, while 120 PTs has passed the course-test. The e-learning course has good statistics of use by Norwegian PTs when looking at users, views and completion of the course test. To enhance the sharing of evidence-based physiotherapy for NMD-patients to PTs, a digital course thus seems to be a cost-effective and potent tool. To enable availability for an international audience, translation to English with publishing through sjelden.no and ERN Euro-NMD is planned for 2024-2025. Copyright Â© 2024",FALSE,Primary language is not English,Not English,2024,1,
J1840,2020,Economic evaluation of vancomycin-resistant enterococci (VRE) control practices: a systematic review,"Preventing vancomycin-resistant enterococci (VRE) infection is a healthcare priority. However, the cost-effectiveness of VRE control interventions is unclear. The aim of this study was to synthesize evidence on economic evaluation of VRE control practices such as screening, contact precautions, patient cohorting, and others. The literature was searched from January 1985 to June 2018, and included economic evaluations of VRE control practices in hospital settings, published in English. A total of 4711 articles were screened; nine primary studies met our criteria. All studies evaluated some form of VRE screening and contact precautions, in populations ranging from single hospital wards (or select patient groups) to multiple healthcare facilities. There was significant variability in the interventions and comparisons used. Most studies (N = 7) conducted a cost-effectiveness analysis; two studies were cost-consequence studies. All economic evaluations were from the hospital perspective. Four studies found implementing enhanced VRE-specific control practices to be cost-effective/cost-saving and two studies found that discontinuing VRE-specific control practices was not cost-effective. Three studies found decreasing VRE-specific control practices to be cost-effective/cost-saving. The quality of the included studies was generally low according to the Joanna Briggs Institute (JBI) checklist for economic evaluations; major limitations included risks of bias in intervention effect estimates, and a lack of sensitivity analyses. Most studies show that some form of VRE screening and use of Contact Precautions is cost-effective. The low study quality and heterogeneity of interventions and comparators precludes definitive conclusions about the cost effectiveness of specific VRE control interventions. Additional high-quality economic evaluations are needed to strengthen the available evidence. Copyright Â© 2019",FALSE,"Published in 2019, outside inclusion range",English,2019,1,
J4592,2023,Cost-effectiveness modelling of three different hysterosalpingography diagnostic strategies in addition to standard fertility management for couples with unexplained infertility in the United Kingdom,"Previous studies have demonstrated hysterosalpingography (HSG) in general, and specifically with an oil-soluble contrast medium, directly increases pregnancy rates. Decision modelling was performed to compare fertility management using three HSG diagnostic strategies: (i) water-soluble contrast medium (WSCM)-HSG; (ii) Lipiodol Ultra Fluid (LUF)-HSG; and (iii) No HSG, for women aged <=39 years with unexplained infertility. Four reimbursement scenarios were modelled to reflect the various funding arrangements across the regions of the United Kingdom. Compared with WSCM-HSG, the live birth rates after 24 months increased by 3.4% with LUF-HSG and decreased by 2.7% with no HSG. From a patient perspective, fertility management with LUF-HSG is the most cost-effective strategy with cost-savings ranging from 299 to 857 per patient depending on the funding arrangement for IVF. From an NHS perspective, fertility management with LUF-HSG is cost-effective when 2 or more IVF cycles are NHS-funded. If none of the IVF cycles are NHS-funded, fertility management with LUF-HSG can be considered cost-effective if society is willing to pay 8,353 for an additional live birth. The findings from this analysis suggest that fertility management with WSCM-HSG is cost-effective compared to no HSG and LUF-HSG is the most cost-effective with increased live birth rates after 24 months. Copyright Â© 2021 The British Fertility Society.",FALSE,Copyright year 2021 suggests publication before 2019-2025.,English,2021,0.9,
J4726,2023,Pharmacogenomic Testing for Major Depression: A Qualitative Study of the Perceptions of People with Lived Experience and Professional Stakeholders,"Objectives: With increasing evidence for the clinical utility of pharmacogenomic (PGx) testing for depression, there is a growing need to consider issues related to the clinical implementation of this testing. The perspectives of key stakeholders (both people with lived experience [PWLE] and providers) are critical, but not frequently explored. The purpose of this study was to understand how PWLE and healthcare providers/policy experts (P/HCPs) perceive PGx testing for depression, to inform the consideration of clinical implementation within the healthcare system in British Columbia (BC), Canada. Method(s): We recruited two cohorts of participants to complete individual 1-h, semi-structured interviews: (a) PWLE, recruited from patient and research engagement networks and organizations and (b) P/HCPs, recruited via targeted invitation. Interviews were audiotaped, transcribed verbatim, de-identified, and analysed using interpretive description. Result(s): Seventeen interviews were completed with PWLE (7 with experience of PGx testing for depression; 10 without); 15 interviews were completed with P/HCPs (family physicians, psychiatrists, nurses, pharmacists, genetic counsellors, medical geneticists, lab technologists, program directors, and insurers). Visual models of PWLE's and P/HCP's perceptions of and attitudes towards PGx testing were developed separately, but both were heavily influenced by participants' prior professional and/or personal experiences with depression and/or PGx testing. Both groups expressed a need for evidence and numerous considerations for the implementation of PGx testing in BC, including the requirement for conclusive economic analyses, patient and provider education, technological and clinical support, local testing facilities, and measures to ensure equitable access to testing. Conclusion(s): While hopeful about the potential for therapeutic benefit from PGx testing, PWLE and P/HCPs see the need for robust evidence of utility, and BC-wide infrastructure and policies to ensure equitable and effective access to PGx testing. Further research into the accessibility, effectiveness, and cost-effectiveness of various implementation strategies is needed to inform PGx testing use in BC. Copyright Â© The Author(s) 2022.",FALSE,"Published in 2022, outside the inclusion window.",English,2022,1,
J713,2019,How Do Pharmaceutical Companies Model Survival of Cancer Patients? A Review of NICE Single Technology Appraisals in 2017,"Objectives Before an intervention is publicly funded within the United Kingdom, the cost-effectiveness is assessed by the National Institute of Health and Care Excellence (NICE). The efficacy of an intervention across the patients' lifetime is often influential of the cost-effectiveness analyses, but is associated with large uncertainties. We reviewed committee documents containing company submissions and evidence review group (ERG) reports to establish the methods used when extrapolating survival data, whether these adhered to NICE Technical Support Document (TSD) 14, and how uncertainty was addressed.Methods A systematic search was completed on the NHS Evidence Search webpage limited to single technology appraisals of cancer interventions published in 2017, with information obtained from the NICE Web site.Results Twenty-eight appraisals were identified, covering twenty-two interventions across eighteen diseases. Every economic model used parametric curves to model survival. All submissions used goodness-of-fit statistics and plausibility of extrapolations when selecting a parametric curve. Twenty-five submissions considered alternate parametric curves in scenario analyses. Six submissions reported including the parameters of the survival curves in the probabilistic sensitivity analysis. ERGs agreed with the company's choice of parametric curve in nine appraisals, and agreed with all major survival-related assumptions in two appraisals.Conclusions TSD 14 on survival extrapolation was followed in all appraisals. Despite this, the choice of parametric curve remains subjective. Recent developments in Bayesian approaches to extrapolation are not implemented. More precise guidance on the selection of curves and modelling of uncertainty may reduce subjectivity, accelerating the appraisal process. Copyright Â© Cambridge University Press 2019.",FALSE,Published in 2019 but focuses on 2017 data.,English,2019,0.9,
J2061,2020,"Infant Hospitalizations and Fatalities Averted by the Maternal Pertussis Vaccination Program in England, 2012-2017: Post-implementation Economic Evaluation","In October 2012, a maternal pertussis vaccination program was implemented in England following an increased incidence and mortality in infants. We evaluated the cost-effectiveness of the program by comparing pertussis-related infant hospitalizations and deaths in 2012-2017 with nonvaccination scenarios. Despite considerable uncertainties, findings support the cost-effectiveness of the program. Copyright Â© 2020 Crown copyright 2020.",FALSE,Published before 2019,English,2020,1,
J1546,2020,iFuse Implant System for Treating Chronic Sacroiliac Joint Pain: A NICE Medical Technology Guidance,"Treatment and management of sacroiliac joint pain is often non-surgical, involving packages of care that can include analgesics, physiotherapy, corticosteroid injections and radiofrequency ablation. Surgical intervention is considered when patients no longer respond to conservative management. The iFuse Implant System is placed across the sacroiliac joint using minimally invasive surgery, stabilising the joint and correcting any misalignment or weakness that can cause chronic pain. The iFuse system was evaluated in 2018 by the UK National Institute for Health and Care Excellence (NICE) as part of the Medical Technologies Evaluation Programme (MTEP). Clinical evidence for iFuse suggests improved pain, Oswestry disability index (ODI) and quality of life compared to non-surgical management. The company (SI-Bone<sup></sup>) submitted two cost models indicating that iFuse was cost saving compared with open surgery and non-surgical management. Clinicians advised that non-surgical management was the most appropriate comparator and Cedar (a health technology research centre) made changes to the model to test the impact of higher acquisition and procedure costs. Cedar found iFuse to be cost incurring by approximately 560 per patient at 7 years. During the consultation period, the company reduced the cost of some iFuse consumables, and Cedar extended the time horizon to test the assumption that iFuse would become cost saving over time. These changes indicated that iFuse becomes cost saving at 8 years (approximately 129 per patient), after which the cost saving continues to increase. NICE published guidance in October 2018 recommending that the case for adoption of the iFuse system in the UK National Health Service (NHS) was supported by the evidence. Copyright Â© 2019, Springer Nature Switzerland AG.",FALSE,"Published in 2019, outside inclusion range",English,2019,1,
J1303,2019,Cost-Effectiveness Studies in the ICU: A Systematic Review,"<b>OBJECTIVES</b>: Cost-effectiveness analyses are increasingly used to aid decisions about resource allocation in healthcare; this practice is slow to translate into critical care. We sought to identify and summarize original cost-effectiveness studies presenting cost per quality-adjusted life year, incremental cost-effectiveness ratios, or cost per life-year ratios for treatments used in ICUs.
<b>DESIGN</b>: We conducted a systematic search of the English-language literature for cost-effectiveness analyses published from 1993 to 2018 in critical care. Study quality was assessed using the Drummond checklist.
<b>SETTING</b>: Critical care units.
<b>PATIENTS OR SUBJECTS</b>: Critical care patients.
<b>INTERVENTIONS</b>: Identified studies with cost-effectiveness analyses.
<b>MEASUREMENTS AND MAIN RESULTS</b>: We identified 97 studies published through 2018 with 156 cost-effectiveness ratios. Reported incremental cost-effectiveness ratios ranged from -$119,635 (hypothetical cohort of patients requiring either intermittent or continuous renal replacement therapy) to $876,539 (data from an acute renal failure study in which continuous renal replacement therapy was the most expensive therapy). Many studies reported favorable cost-effectiveness profiles (i.e., below $50,000 per life year or quality-adjusted life year). However, several therapies have since been proven harmful. Over 2 decades, relatively few cost-effectiveness studies in critical care have been published (average 4.6 studies per year). There has been a more recent trend toward using hypothetical cohorts and modeling scenarios without proven clinical data (2014-2018: 19/33 [58%]).
<b>CONCLUSIONS</b>: Despite critical care being a significant healthcare cost burden there remains a paucity of studies in the literature evaluating its cost effectiveness.",FALSE,Published before 2019,English,2019,1,
J3014,2021,"Percutaneous Coronary Intervention in Patients With Gynecological Cancer: Machine Learning-Augmented Propensity Score Mortality and Cost Analysis for 383,760 Patients","Background: Despite the growing number of patients with both coronary artery disease and gynecological cancer, there are no nationally representative studies of mortality and cost effectiveness for percutaneous coronary interventions (PCI) and this cancer type. Method(s): Backward propagation neural network machine learning supported and propensity score adjusted multivariable regression was conducted for the above outcomes in this case-control study of the 2016 National Inpatient Sample (NIS), the United States' largest all-payer hospitalized dataset. Regression models were fully adjusted for age, race, income, geographic region, cancer metastases, mortality risk, and the likelihood of undergoing PCI (and also with length of stay [LOS] for cost). Analyses were also adjusted for the complex survey design to produce nationally representative estimates. Centers for Disease Control and Prevention (CDC)-based cost effectiveness ratio (CER) analysis was performed. Result(s): Of the 30,195,722 hospitalized patients meeting criteria, 1.27% had gynecological cancer of whom 0.02% underwent PCI including 0.04% with metastases. In propensity score adjusted regression among all patients, the interaction of PCI and gynecological cancer (vs. not having PCI) significantly reduced mortality (OR 0.53, 95%CI 0.36-0.77; p = 0.001) while increasing LOS (Beta 1.16 days, 95%CI 0.57-1.75; p < 0.001) and total cost (Beta $31,035.46, 95%CI 26758.86-35312.06; p < 0.001). Among gynecological cancer patients, mortality was significantly reduced by PCI (OR 0.58, 95%CI 0.39-0.85; p = 0.006) and being in East North Central, West North Central, South Atlantic, and Mountain regions (all p < 0.03) compared to New England. PCI reduced mortality but not significantly for metastatic patients (OR 0.74, 95%CI 0.32-1.71; p = 0.481). Eighteen extra gynecological cancer patients' lives were saved with PCI for a net national cost of $3.18 billion and a CER of $176.50 million per averted death. Conclusion(s): This large propensity score analysis suggests that PCI may cost inefficiently reduce mortality for gynecological cancer patients, amid income and geographic disparities in outcomes. Copyright Â© 2022 Thomason, Monlezun, Javaid, Filipescu, Koutroumpakis, Shobayo, Kim, Lopez-Mattei, Cilingiroglu, Iliescu, Marmagkiolis, Ramirez and Iliescu.",FALSE,"Published in 2022, but language is unknown",Unknown,2022,0.8,
