id,Year,Title,Abstract,include_stage5,reason_stage5,main_shift,shifts_detected,confidence_stage5
J502,2019,Pdb16 Assessment of Cost-Effectiveness of a 0.2 Mcg/Day Fluocinolone Acetonide (Fac) Implant in Patients with Chronic Diabetic Macular Oedema (Dmo) in an Eye with Cataract,"Objectives: The fluocinolone acetonide 0.2 mug/day implant (FAc) is effective in improving visual acuity in patients with chronic diabetic macular oedema (cDMO) but is associated with worsening of cataract. A model previously suggested that FAc is cost-effective in patients with cDMO, who have undergone cataract surgery or not. The aim of this study was to update this model and assess the cost-effectiveness of FAc in the subgroup of patients with symptomatic cataract. Method(s): The existing Markov model was designed to assess costs and QALYs over lifetime in patients treated with FAc implant, compared to usual care (UC), consisting of laser photocoagulation and anti-VEGFs from the UK NHS perspective. Unit costs and health state utility values (HSUVs) were updated. The FAc price was NHS list price. HSUVs were obtained from the FAME trial using the VFQ-UI utility index. Best-Corrected Visual Acuity (BCVA) with UC was supposed to be stable. Additional scenarios were considered, with BCVA decreasing over time in UC arm, according to real-world data, and with possibility of administering FAc after cataract surgery in the UC arm. Result(s): New HSUVs ranged from 0.48 for blind patients to 0.91 for patients with perfect vision in both eyes. The FAc strategy was more expensive compared to usual care, by 3,445 per patients over lifetime, and produced more QALYs (+0.247). The incremental cost-effectiveness ratio (ICER) was estimated at 13,932 per QALY gained. The ICER was sensitive to the baseline visual acuity, patients' age and the probability of cataract surgery. The probability of FAc being cost-effective was 66.1% at a threshold of 20,000 per QALY gained. Scenario analyses showed that the efficacy of UC had a strong influence on results, and ICER decreased to 1,686 per QALY gained when BCVA decreased under UC Conclusion(s): The FAc implant is a cost-effective treatment for cDMO in patients with symptomatic cataract. Copyright ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2019",FALSE,"Focuses on cost-effectiveness of a treatment, not on NHS shifts.",None,,0.9
J504,2019,Pmh28 Assessing the Life-Cycle Value Added of Second-Generation Antipsychotics in Sweden and the Uk: The Case of Risperidone,"To estimate the life-cycle value of risperidone - representative of Second-Generation Antipsychotics- relative to First Generation Antipsychotics to balance the view that cost per Quality-Adjusted Life Year (QALY) at launch are enough to guide access decisions. Study aims to drive the discussion on access and price, through recognition of the dynamic nature of value added by pharmaceutical innovation over the long-run. We estimated the number of patients with schizophrenia treated with risperidone in Sweden and the UK (1994-2017). We collected cost-effectiveness data from the literature of risperidone and haloperidol - representative of First-Generation Antipsychotics. We modelled the life-cycle uptake of risperidone to estimate the life-cycle incremental cost, incremental QALYs and Net monetary Benefit (NMB). We also assessed the life-cycle distribution of the consumer (the payer) and the producer (innovator) surpluses. For the UK, the producer surplus represents around 28% of the total surplus before patent expiration and around 5% after patent expiration. Life-cycle NMB for the health system is estimated at 1,116m. During the life-cycle, the NMB significantly increased in response to two events: (i) the launch of Risperidone Long-Acting Injectable (RLAI); and (ii) generic entry. The ICER was negative (dominant) for the whole period. For Sweden, the producer surplus represents around 6% of the total surplus before patent expiration and around 1% after generic competition. Life-cycle NMB is estimated at 803m, and both NMB and ICER follow the same pattern as in the UK. Analysis shows that health systems appropriated most of the life-cycle value (surplus) generated. This suggests that, considering the entire life-cycle, the value added by SGAs to the system is higher than the value estimated using cost-effectiveness analysis at launch. Pricing and reimbursement decisions should take into account the dynamic nature of pharmaceutical markets and the value added by innovative medicines over the long-run. Copyright ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2019",FALSE,"Focuses on cost-effectiveness of antipsychotics, not NHS shifts.",None,,0.9
J508,2019,Adalimumab for non-infectious uveitis: Is it cost-effective?,"Background/Aims: Uveitis is inflammation inside the eye. Our objective was to assess the cost-effectiveness of adalimumab compared with current practice (immunosuppressants and systemic corticosteroids) in patients with non-infectious intermediate, posterior or panuveitis and to identify areas for future research. Method(s): A Markov model was built to estimate costs and benefits of the interventions. Systematic reviews were performed to identify the available relevant clinical and cost-effectiveness evidence. Data collected in two key randomised controlled trials (VISUAL I and VISUAL II) were used to estimate the interventions' effectiveness compared with the trials' comparator arms (placebo plus limited current practice (LCP)). The analysis was performed from the National Health Service and Personal Social Services perspective. Costs were calculated based on standard UK sources. Result(s): The estimated incremental cost-effectiveness ratios (ICERs) of adalimumab versus LCP for the base case are 92 600 and 318 075 per quality-adjusted life year (QALY) gained for active and inactive uveitis, respectively. In sensitivity analyses, the ICER varied from 15 579 to 120 653 and 35 642 to 800 775 per QALY for active and inactive uveitis. Conclusion(s): The estimated ICERs of adalimumab versus LCP are above generally accepted thresholds for cost-effectiveness in the UK. Adalimumab may be more cost-effective in patients with active uveitis at greater risk of blindness. However, there is an unmet need for additional primary data to provide more reliable estimates in several important areas, including effectiveness of adalimumab versus current practice (instead of LCP), incidence of long-term blindness, adalimumab effectiveness in avoiding blindness, and rates and time to remission while on adalimumab. Copyright ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2019 Author(s).",FALSE,"Focuses on cost-effectiveness of a drug, not NHS shifts.",None,,1
J514,2019,ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹Primary closure versus delayed or no closure for traumatic wounds due to mammalian bite,"- Background Mammalian bites are a common presentation in emergency and primary healthcare facilities across the world. The World Health Organization recommends postponing the suturing of a bite wound but this has not been evaluated through a systematic review. Objectives To assess the effects of primary closure compared with delayed closure or no closure for mammalian bite wounds. Search methods In July 2019 we searched the Cochrane Wounds Specialised Register; the Cochrane Central Register of Controlled Trials (CENTRAL); Ovid MEDLINE (including InÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚ÂProcess & Other NonÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚ÂIndexed Citations); Ovid Embase and EBSCO CINAHL Plus. We also searched clinical trials registries for ongoing and unpublished studies, and scanned reference lists of relevant included studies as well as reviews, metaÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âanalyses and health technology reports to identify additional studies. There were no restrictions with respect to language, date of publication or study setting. Selection criteria We included randomised controlled trials which compared primary closure with delayed or no closure for traumatic wounds due to mammalian bite. Data collection and analysis Two review authors independently screened titles, abstracts and fullÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âtext publications, applied the inclusion criteria, and extracted data. We pooled data using a randomÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âeffects model, as appropriate. We used the Cochrane 'Risk of bias' tool and assessed the certainty of the evidence using the GRADE approach. Main results We found three trials (878 participants) that compared primary closure with no closure for dog bites and one trial (120 participants) that compared primary closure with delayed closure. No other mammalian bite studies were identified. The trials were from the UK (one trial), Greece (one trial) and China (two trials). Overall, participants from both sexes and all age groups were represented. We are uncertain whether primary closure improves the proportion of wounds which are infectionÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âfree compared with no closure, as the certainty of evidence for this outcome was judged to be very low (risk ratio (RR) 1.01, 95% confidence interval (CI) 0.97 to 1.05; 2 studies, 782 participants; I 2 = 0%). We downgraded the evidence by one level for high risk of bias and two levels for imprecision. There is no clinically important difference in cosmesis (acceptable physical/cosmetic appearance) of dog bite wounds when primary closure is compared with no closure (mean difference (MD) ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Â1.31, 95% CI ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Â2.03 to ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Â0.59; 1 study, 182 participants). The certainty of evidence for this outcome was judged to be moderate (we downgraded our assessment by one level for imprecision). We are uncertain whether primary closure improves the proportion of dog bite wounds that are infectionÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âfree compared with delayed closure, as the evidence for this outcome was judged to be very low (RR 0.98, 95% CI 0.90 to 1.07; 1 study, 120 participants; I 2 = 0%). We downgraded the evidence by one level for high risk of bias and two levels for imprecision. None of the four trials reported any adverse outcomes such as death or rabies but they were, in any case, unlikely to have been large enough to have satisfactory power to provide precise estimates for these. Important outcomes like time to complete wound healing, proportion of wounds healed, and length of hospital stay were not evaluated. Authors' conclusions All the studies we identified concerned dog bites. There is no highÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âcertainty evidence to support or refute existing recommendations concerning primary closure for dog bites. The potential benefits and harms of primary closure compared with delayed or no closure for mammalian bites remain uncertain and more robust trials are needed. Plain language summary Primary closure (immediate stitches) versus delayed closure (delayed stitches) or no closure (no stitches) for traumatic wounds due to mammalian bite What is the aim of this review? The aim of this review was to find out whether animal bite wounds heal better when they are closed with stitches straight away (primary closure), or if th wounds are left open to heal for a short time before closure (delayed closure) or not stitched at all (no closure). We wanted to find out which wounds healed fastest, and if the method of closure affected the likelihood of wound infection, the appearance of the scar, the length of time patients were in hospital, and more serious side effects such as death. To answer this question, we collected and analysed all relevant studies (randomised controlled trials). Randomised controlled trials are medical studies where people are chosen at random to receive different treatments. This type of trial provides the most reliable health evidence. We found four relevant studies. Key messages All the studies we found concerned dog bites. In terms of wound infection, we cannot be certain whether it is better to close dog bite wounds straight away, or wait a while before stitching, or leave them with no stitches. There was little difference in the appearance of the bite scar. Most of the evidence we found was of low certainty due to the size of the studies and the methods used. What was studied in the review? Mammalian bite wounds from animals such as dogs, cats and monkeys are a common problem throughout the world. In developed countries, many bite wounds are caused by domestic pets. In lowerÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âincome countries bites can also be caused by wild animals. Dogs are generally responsible for the majority of bites. Bite wounds are at high risk of infection as microbes are transmitted into the wound from the animal's mouth. In lowerÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âincome countries these wound infections can lead to serious complications and in some cases death. The first priorities when treating an animal bite are to stop the flow of blood from the wound, provide pain relief, and prevent infection. This can include appropriate vaccination against tetanus and rabies. It is often recommended that bite wounds are not stitched straight away if infection is suspected, as closing an infected wound could delay healing and be potentially fatal. What are the main results of the review? In July 2019 we searched for randomised controlled trials comparing primary closure versus delayed or no closure for mammalian bite wounds. We found four relevant studies on dog bites. They were carried out in the UK, Greece and China. No other mammalian bite studies were identified. Three of the studies we included compared primary closure with sutures (immediate stitches) with no closure for dog bite wounds. One study compared primary closure with delayed closure for dog bites. The people in the studies were followed, where stated, from 14 days to three months. Overall, participants from both sexes and all age groups were represented. We are uncertain whether primary closure of dog bite wounds increases the proportion of wounds which are infectionÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âfree compared with no closure (very lowÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âcertainty evidence from two studies including a total of 782 people) and compared with delayed closure (very lowÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âcertainty evidence from one study with a total of 120 people). There is little difference in the appearance of dog bite wounds when primary closure is compared with no closure (moderateÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âcertainty evidence from one study with a total of 182 participants). None of the included studies reported proportion of wounds healed, the time to complete wound healing, length of hospital stay or adverse events. The number of people in the included studies was small, and the people who assessed the outcomes were aware of which treatment had been given. Both of these are reasons why the results are uncertain. How up to date is this review? We searched for studies that had been published up to July 2019.",FALSE,"Study focuses on wound closure methods, not NHS shifts.",None,,0.95
J520,2019,The budget impact of early dose optimisation with golimumab in ulcerative colitis in the UK,"Background: The PURSUIT study found that ulcerative colitis patients who were non-responders (based on full Mayo score) to subcutaneous golimumab treatment at Week 6 may benefit from receiving a dose of 100 mg golimumab from Week 6 onwards, with 28% of non-responders at Week 6 becoming responders by Week 14. The aim of this study was to assess the budget implications of optimising a patient's dose at Week 6 compared with other first-line therapies as per current clinical practice Methods: A decision tree model was designed to follow a patient's response to first-line treatment and to track a patient's progression through subsequent line of therapy. The budget impact model only considered drug costs from the perspective of the UK NHS. In total three lines of therapy were covered by the decision tree over a 1 year time horizon. Patients could have first-line treatment with one of the three treatment strategies; golimumab (current treatment practice), golimumab (dose optimisation based on the PURSUIT trial) and adalimumab. Within each of the comparator treatments dose escalation was considered, based on the median time to escalation and proportion of patients receiving dose escalation. Subsequent therapy for golimumab patients was adalimumab and patients who received adalimumab as a first-line therapy received golimumab as a second-line therapy. Response rates, time to loss of response and treatment costs were taken from published data sources. The cost of golimumab was equal between 50 mg pack and 100 mg pack. The model used assumption for second-line response rates; this has been tested in sensitivity analysis. Result(s): The use of dose optimisation for golimumab does not increase expenditure of drug costs compared with golimumab (single dose) with a cost saving of 42 per patient per year. When comparing dose optimisation for golimumab to adalimumab, golimumab was cost saving over 1 year of treatment with cost saving of 2138 per patient. The number of patients in a response health state was similar across all three treatments (47.7%, 47.6% and 45% for golimumab (single dose), golimumab (dose optimisation) and adalimumab, respectively. Conclusion(s): The implementation of dose optimisation at Week 6 for golimumab was cost saving compared with golimumab (current treatment practice) or adalimumab. The analysis highlights the need for immediate implementation of the updated GLM label in clinical practice for potentially more cost savings.",FALSE,"Focuses on drug cost optimisation, not NHS Three Shifts.",None,,0.9
J522,2019,Continuous subcutaneous insulin infusion versus multiple daily injection regimens in children and young people at diagnosis of type 1 diabetes: Pragmatic randomised controlled trial and economic evaluation,"Objective To compare the efficacy, safety, and cost utility of continuous subcutaneous insulin infusion (CSII) with multiple daily injection (MDI) regimens during the first year following diagnosis of type 1 diabetes in children and young people. Design Pragmatic, multicentre, open label, parallel group, randomised controlled trial and economic evaluation. Setting 15 paediatric National Health Service (NHS) diabetes services in England and Wales. The study opened to recruitment in May 2011 and closed in January 2017. Participants Patients aged between 7 months and 15 years, with a new diagnosis of type 1 diabetes were eligible to participate. Patients who had a sibling with the disease, and those who took drug treatments or had additional diagnoses that could have affected glycaemic control were ineligible. Interventions Participants were randomised, stratified by age and treating centre, to start treatment with CSII or MDI within 14 days of diagnosis. Starting doses of aspart (CSII and MDI) and glargine or detemir (MDI) were calculated according to weight and age, and titrated according to blood glucose measurements and according to local clinical practice. Main outcome measures Primary outcome was glycaemic control (as measured by glycated haemoglobin; HbA1c) at 12 months. Secondary outcomes were percentage of patients in each treatment arm with HbA1c within the national target range, incidence of severe hypoglycaemia and diabetic ketoacidosis, change in height and body mass index (as measured by standard deviation scores), insulin requirements (units/kg/day), partial remission rate (insulin dose adjusted HbA1c <9), paediatric quality of life inventory score, and cost utility based on the incremental cost per quality adjusted life year (QALY) gained from an NHS costing perspective. Results 294 participants were randomised and 293 included in intention to treat analyses (CSI, n=144; MDI, n=149). At 12 months, mean HbA1c was comparable with clinically unimportant differences between CSII and MDI participants (60.9 mmol/mol v 58.5 mmol/mol, mean difference 2.4 mmol/mol (95% confidence interval -0.4 to 5.3), P=0.09). Achievement of HbA1c lower than 58 mmol/mol was low among the two groups (66/143 (46%) CSII participants v 78/142 (55%) MDI participants; relative risk 0.84 (95% confidence interval 0.67 to 1.06)). Incidence of severe hypoglycaemia and diabetic ketoacidosis were low in both groups. Fifty four non-serious and 14 serious adverse events were reported during CSII treatment, and 17 non-serious and eight serious adverse events during MDI treatment. Parents (but not children) reported superior PedsQL scores for those patients treated with CSII compared to those treated with MDI. CSII was more expensive than MDI by 1863 (2179; $2474; 95% confidence interval 1620 to 2137) per patient, with no additional QALY gains (difference -0.006 (95% confidence interval -0.031 to 0.018)). Conclusion During the first year following type 1 diabetes diagnosis, no clinical benefit of CSII over MDI was identified in children and young people in the UK setting, and treatment with either regimen was suboptimal in achieving HbA1c thresholds. CSII was not cost effective. Trial registration Current Controlled Trials ISRCTN29255275; European Clinical Trials Database 2010-023792-25. Copyright ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© Published by the BMJ Publishing Group Limited.",FALSE,"Study focuses on treatment efficacy, not NHS shifts.",None,,0.95
J537,2019,Screening Women for Abdominal Aortic Aneurysms: Clinical and Economic Effectiveness Results from a Discrete Event Simulation Model,"Introduction - Abdominal aortic aneurysm (AAA) screening programmes have been established for men in several countries. Whether screening should be extended to women is uncertain. The objective of this study was to evaluate the cost-effectiveness of population screening for AAA in women, and compare a range of screening options. Methods - A discrete event simulation model was developed to provide a clinically realistic model of screening, surveillance, and elective and emergency AAA repair in women. Input parameters specifically for women were obtained from surgical registries, published literature and national administrative datasets. Screening was modelled for women aged 65 years or over. The model was run for 10-million women, with parameter uncertainty addressed by probabilistic and deterministic sensitivity analyses. UK costs in pounds sterling were converted to Euros based on 2016 average OECD purchasing power parity. Results - The prevalence of AAA (aortic diameter 33.0cm) was estimated as 0.43% in women aged 65 years and 1.15% at age 75. The corresponding attendance rates following invitation to screening were estimated as 73% and 62%. The base-case model adopted the same age at screening (65 years), definition of AAA (33.0cm), surveillance intervals (1 year for 3.0-4.4cm AAAs, 3 months for 4.5-5.4cm) and AAA diameter for consideration of surgery (5.5cm) as in the UK NHS AAA screening programmes. For screening at age 65, per woman invited to screening, the estimated gain in QALYs was 0.00075 (just under one day of life per woman screened), and the incremental cost was 33.51 (36.33) (all values discounted). This gave an incremental cost-effectiveness ratio (ICER) of 45,000 (48,782) per quality-adjusted life-year (QALY) gained (current UK threshold for implementation approximately 20,000 (21,681)). Under the base-case model around 2800 women would need to be invited to screening to prevent one death from AAA and screening would cost 100,000 (108,406) per death from AAA prevented (non-discounted). Sensitivity analyses did not bring the ICER below 20,000 per QALY gained, with the exception of doubling the AAA prevalence to 0.86% where the ICER was 18,000 (19,513). Alternative screening options (increasing the screening age to 70 years, lowering the threshold for considering surgery to 5.0 or 4.5cm, lowering the diameter defining an AAA in women to 2.5cm, and lengthening the surveillance intervals for the smallest AAAs) did not bring the ICER below 30,000 (32,522) per QALY gained when considered either singly or in combination. Conclusion - The current UK cost-effectiveness criteria for a population-based AAA screening programme in women are not currently met. Copyright ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2019",FALSE,"Focuses on screening effectiveness, not on NHS shifts.",None,,0.9
J541,2019,Surgical treatments for women with stress urinary incontinence: the ESTER systematic review and economic evaluation,"<b>BACKGROUND</b>: Urinary incontinence in women is a distressing condition that restricts quality of life and results in a large economic burden to both the NHS and women themselves.
<b>OBJECTIVE</b>: To evaluate the clinical effectiveness, safety and cost-effectiveness of surgical treatment for stress urinary incontinence (SUI) in women and explore women's preferences.
<b>DESIGN</b>: An evidence synthesis, a discrete choice experiment (DCE) and an economic decision model, with a value-of-information (VOI) analysis. Nine surgical interventions were compared. Previous Cochrane reviews for each were identified and updated to include additional studies. Systematic review methods were applied. The outcomes of interest were 'cure' and 'improvement'. Both a pairwise and a network meta-analysis (NMA) were conducted for all available surgical comparisons. A DCE was undertaken to assess the preferences of women for treatment outcomes. An economic model assessed the cost-effectiveness of alternative surgeries and a VOI analysis was undertaken.
<b>RESULTS</b>: Data from 175 studies were included in the effectiveness review. The majority of included studies were rated as being at high or unclear risk of bias across all risk-of-bias domains. The NMA, which included 120 studies that reported data on 'cure' or 'improvement', showed that retropubic mid-urethral sling (MUS), transobturator MUS, traditional sling and open colposuspension were more effective than other surgical procedures for both primary outcomes. The results for other interventions were variable. In general, rate of tape and mesh exposure was higher after transobturator MUS than after retropubic MUS or single-incision sling, whereas the rate of tape or mesh erosion/extrusion was similar between transobturator MUS and retropubic MUS. The results of the DCE, in which 789 women completed an anonymous online questionnaire, indicate that women tend to prefer surgical treatments associated with no pain or mild chronic pain and shorter length of hospital stay as well as those treatments that have a smaller risk for urinary symptoms to reoccur after surgery. The cost-effectiveness results suggest that, over a lifetime, retropubic MUS is, on average, the least costly and most effective surgery. However, the high level of uncertainty makes robust estimates difficult to ascertain. The VOI analysis highlighted that further research around the incidence rates of complications would be of most value.
<b>LIMITATIONS</b>: Overall, the quality of the clinical evidence was low, with limited data available for the assessment of complications. Furthermore, there is a lack of robust evidence and significant uncertainty around some parameters in the economic modelling.
<b>CONCLUSIONS</b>: To our knowledge, this is the most comprehensive assessment of published evidence for the treatment of SUI. There is some evidence that retropubic MUS, transobturator MUS and traditional sling are effective in the short to medium term and that retropubic MUS is cost-effective in the medium to long term. The VOI analysis highlights the value of further research to reduce the uncertainty around the incidence rates of complications. There is a need to obtain robust clinical data in future work, particularly around long-term complication rates.
<b>STUDY REGISTRATION</b>: This study is registered as PROSPERO CRD42016049339.
<b>FUNDING</b>: The National Institute for Health Research Health Technology Assessment programme.",FALSE,"Focuses on surgical treatments, not NHS Three Shifts.",None,,1
J543,2019,Laparoscopically assisted versus open oesophagectomy for patients with oesophageal cancer - The Randomised Oesophagectomy: Minimally Invasive or Open (ROMIO) study: Protocol for a randomised controlled trial (RCT),"Introduction Surgery (oesophagectomy), with neoadjuvant chemo(radio)therapy, is the main curative treatment for patients with oesophageal cancer. Several surgical approaches can be used to remove an oesophageal tumour. The Ivor Lewis (two-phase procedure) is usually used in the UK. This can be performed as an open oesophagectomy (OO), a laparoscopically assisted oesophagectomy (LAO) or a totally minimally invasive oesophagectomy (TMIO). All three are performed in the National Health Service, with LAO and OO the most common. However, there is limited evidence about which surgical approach is best for patients in terms of survival and postoperative health-related quality of life. Methods and analysis We will undertake a UK multicentre randomised controlled trial to compare LAO with OO in adult patients with oesophageal cancer. The primary outcome is patient-reported physical function at 3 and 6 weeks postoperatively and 3 months after randomisation. Secondary outcomes include: postoperative complications, survival, disease recurrence, other measures of quality of life, spirometry, success of patient blinding and quality assurance measures. A cost-effectiveness analysis will be performed comparing LAO with OO. We will embed a randomised substudy to evaluate the safety and evolution of the TMIO procedure and a qualitative recruitment intervention to optimise patient recruitment. We will analyse the primary outcome using a multi-level regression model. Patients will be monitored for up to 3 years after their surgery. Ethics and dissemination This study received ethical approval from the South-West Franchay Research Ethics Committee. We will submit the results for publication in a peer-reviewed journal. Trial registration number ISRCTN10386621. Copyright ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© Author(s) (or their employer(s)) 2019. Re-use permitted under CC BY. Published by BMJ.",FALSE,"Focuses on surgical techniques, not aligned with NHS Three Shifts.",None,,1
J551,2019,Cost effectiveness of letermovir as prophylaxis of clinically significant cytomegalovirus reactivation and disease in adult CMV-seropositive allogeneic haematopoietic stem cell transplant: A Scottish payer perspective,"Background: Data from a recent phase III clinical trial has demonstrated the efficacy of letermovir as prophylaxis against CMV reactivation in adult CMV-seropositive recipients of an allogeneic haematopoietic stem-cell transplant (HSCT). The objective of this cost-effectiveness analysis is to evaluate the clinical and economic value of letermovir when compared to pre-emptive treatment from the payer perspective in Scotland. Method(s): A decision-analytic model evaluated total costs and lifetime quality-adjusted life-years (QALY's) from the perspective of the National Health Service (NHS) and social work in Scotland. Efficacy data, including rates of preemptive therapy for CMV infection, CMV disease, rehospitalization, mortality, and quality of life were incorporated from clinical trial data at 24 weeks posttransplant. The primary endpoint of the trial was clinically significant CMV-infection at week 24 post-transplant. Costs of preemptive treatment, CMV disease, and other trial outcomes were obtained from published sources. Life-years during the first 24 weeks were estimated from the mortality observed in the clinical trial. Life-years post 24 weeks were estimated for the week 24 survivors by applying a relative risk of death for HSCT to the general mortality risk from the life tables for Scotland (2014-16). Utility values were applied based on EQ-5D data collected in the clinical trial and longer-term data from published sources. The annual cost to treat 1-year survivors was based on a proportion of patients receiving 2 years of immunosuppressive agent treatment for chronic graft-versus-host disease (onset 100 days after transplant). Sensitivity analysis explored the impact of including data from the extended follow-up period, where various endpoints were collected through 48 weeks post-transplant. The model used an annual discount rate of 3.5%. Result(s): In the base-case analysis, letermovir reduced the number CMV infections requiring pre-emptive treatment vs standard of care (SoC) (20.0% vs 49.3%) at 24 weeks posttransplant. Prophylaxis with letermovir resulted in lower allcause mortality at week 24 in comparison to SoC (10.2% vs. 15.9%), and a mean increase in life-years (+0.46), QALY's (+0.41) and total costs up to week 24 post-HSCT per patient. This resulted in an incremental costeffectiveness ratio (ICER) of 12,659 per QALY gained. The sensitivity analysis using data from 48 weeks posttransplant did not have a significant effect on the results. Results of a probabilistic sensitivity analysis indicated that letermovir was cost effective in 77.4% of iterations at 20,000 per QALY gained and 87.6% of iterations at 30,000 per QALY gained. Conclusion(s): The results of this model would suggest that the prophylaxis use of letermovir is a cost-effective treatment strategy at commonly accepted ICER thresholds. The model inputs with a greatest impact on the results were a reduction in the rate of mortality, increasing the age of patients treated with letermovir, and an increase in the cost of prophylaxis for letermovir.",FALSE,"Focuses on cost-effectiveness of a drug, not NHS shifts.",None,,0.9
